epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6404,1.83504,2.83088,1.35066,0.55096,0.37857,0.37534,0.21068,1.8825,1.75083,1.26141,9.20764e-05,9.20764e-05,9.20764e-05
2,91.172,1.47036,1.46283,1.13398,0.62829,0.45167,0.47487,0.26767,1.78477,1.47164,1.23309,0.000184012,0.000184012,0.000184012
3,137.352,1.44203,1.26618,1.12346,0.57878,0.49036,0.53754,0.29386,1.79806,1.19462,1.23424,0.000275213,0.000275213,0.000275213
4,180.422,1.4114,1.17978,1.10823,0.69637,0.4666,0.5228,0.28454,1.98506,1.22094,1.32265,0.000274697,0.000274697,0.000274697
5,222.438,1.36371,1.06985,1.09318,0.61067,0.528,0.55204,0.35145,1.43493,1.06482,1.09994,0.000273596,0.000273596,0.000273596
6,266.99,1.35169,1.02268,1.08836,0.7012,0.51943,0.55356,0.31396,1.76794,1.08622,1.21909,0.000272496,0.000272496,0.000272496
7,313,1.32966,0.9737,1.07792,0.71139,0.5496,0.58386,0.34573,1.7202,1.06825,1.19636,0.000271395,0.000271395,0.000271395
8,355.534,1.30163,0.93401,1.06528,0.69835,0.55396,0.60366,0.35174,1.80936,1.04388,1.23861,0.000270294,0.000270294,0.000270294
9,398.27,1.29064,0.90406,1.0626,0.6508,0.60865,0.6431,0.38155,1.72334,0.96368,1.19362,0.000269193,0.000269193,0.000269193
10,441.927,1.2669,0.87429,1.04638,0.6996,0.60147,0.62993,0.38358,1.60349,0.90554,1.14804,0.000268092,0.000268092,0.000268092
11,488.49,1.25934,0.84315,1.04371,0.69942,0.6394,0.66024,0.42786,1.33925,0.82632,1.05274,0.000266991,0.000266991,0.000266991
12,532.405,1.25303,0.84427,1.04642,0.74394,0.59271,0.63255,0.38351,1.66982,0.92846,1.17797,0.00026589,0.00026589,0.00026589
13,575.534,1.23904,0.81288,1.03806,0.77225,0.60072,0.66378,0.4232,1.41047,0.81873,1.07097,0.000264789,0.000264789,0.000264789
14,618.543,1.21277,0.8126,1.03476,0.64552,0.6268,0.61532,0.36239,1.6884,0.90618,1.18818,0.000263689,0.000263689,0.000263689
15,665.333,1.22084,0.78505,1.03639,0.72956,0.5996,0.68078,0.42938,1.50046,0.80834,1.10527,0.000262588,0.000262588,0.000262588
16,710.279,1.19024,0.77442,1.0228,0.78734,0.61401,0.6426,0.40055,1.52026,0.81428,1.10862,0.000261487,0.000261487,0.000261487
17,752.241,1.1842,0.76925,1.02622,0.75295,0.62425,0.67188,0.43089,1.48398,0.8226,1.0943,0.000260386,0.000260386,0.000260386
18,795.795,1.17878,0.74814,1.01763,0.77233,0.58352,0.6591,0.40107,1.68449,0.86337,1.17516,0.000259285,0.000259285,0.000259285
19,840.539,1.16428,0.72819,1.01171,0.74849,0.64804,0.68514,0.46532,1.30368,0.76404,1.04837,0.000258184,0.000258184,0.000258184
20,883.715,1.17411,0.72256,1.01897,0.7254,0.66155,0.67898,0.4457,1.38952,0.76202,1.06925,0.000257083,0.000257083,0.000257083
21,929.387,1.14452,0.71761,1.00875,0.72253,0.65384,0.69124,0.44462,1.46531,0.78096,1.09829,0.000255982,0.000255982,0.000255982
22,972.106,1.13514,0.69572,0.99911,0.6825,0.65791,0.68711,0.45659,1.39721,0.74593,1.06679,0.000254882,0.000254882,0.000254882
23,1015.06,1.12505,0.68191,1.00141,0.75359,0.65697,0.70575,0.47858,1.29188,0.70189,1.0386,0.000253781,0.000253781,0.000253781
24,1058.36,1.11692,0.68772,0.99891,0.74315,0.667,0.70571,0.47637,1.3613,0.72249,1.05837,0.00025268,0.00025268,0.00025268
25,1104.47,1.11643,0.67082,0.99833,0.7069,0.65885,0.69559,0.45949,1.44351,0.76539,1.0762,0.000251579,0.000251579,0.000251579
26,1147.19,1.082,0.65293,0.98693,0.81029,0.66101,0.71376,0.46421,1.4464,0.73941,1.08914,0.000250478,0.000250478,0.000250478
27,1190.2,1.08042,0.66152,0.9914,0.75551,0.64927,0.68278,0.44155,1.41499,0.76571,1.08069,0.000249377,0.000249377,0.000249377
28,1233.28,1.10176,0.66341,0.99524,0.80853,0.64914,0.70315,0.46349,1.40405,0.72317,1.07756,0.000248276,0.000248276,0.000248276
29,1279.42,1.07509,0.63514,0.97972,0.7981,0.61817,0.69692,0.45251,1.4879,0.74474,1.10631,0.000247175,0.000247175,0.000247175
30,1322.5,1.08853,0.63772,0.98839,0.72686,0.65966,0.69397,0.43849,1.60095,0.79001,1.14013,0.000246074,0.000246074,0.000246074
31,1365.59,1.07924,0.63218,0.98477,0.70472,0.68841,0.70253,0.46745,1.42433,0.71396,1.08069,0.000244974,0.000244974,0.000244974
32,1407.23,1.08948,0.63371,0.98905,0.83727,0.66024,0.73106,0.48894,1.44151,0.71278,1.08106,0.000243873,0.000243873,0.000243873
