epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.342,1.77182,2.7309,1.53586,0.49871,0.32135,0.31293,0.17673,1.63897,1.61784,1.36672,0.00199511,0.00199511,0.00199511
2,245.628,1.52799,1.57766,1.28669,0.48054,0.31816,0.3446,0.1848,1.66785,1.51518,1.35448,0.00398193,0.00398193,0.00398193
3,363.303,1.52572,1.4137,1.27937,0.52497,0.3959,0.41136,0.25083,1.53039,1.28911,1.28682,0.00595554,0.00595554,0.00595554
4,495.547,1.5235,1.34501,1.27541,0.57903,0.35911,0.38436,0.22031,1.62377,1.37264,1.35764,0.00791596,0.00791596,0.00791596
5,609.761,1.5677,1.40157,1.2835,0.50269,0.37863,0.37579,0.21069,1.62949,1.4045,1.37406,0.00986317,0.00986317,0.00986317
6,728.273,1.59783,1.43925,1.3041,0.52291,0.35048,0.32605,0.1555,1.88965,1.50842,1.47953,0.009835,0.009835,0.009835
7,842.56,1.56468,1.35799,1.29082,0.53236,0.40765,0.41774,0.23936,1.6115,1.27182,1.34782,0.009802,0.009802,0.009802
8,956.158,1.5482,1.32172,1.2751,0.52083,0.37405,0.38096,0.19403,1.73588,1.31138,1.38399,0.009769,0.009769,0.009769
9,1069.49,1.52392,1.26101,1.26492,0.627,0.45394,0.46406,0.27953,1.51614,1.14743,1.29081,0.009736,0.009736,0.009736
10,1185.42,1.50016,1.2095,1.24745,0.58996,0.40937,0.42921,0.22451,1.67011,1.19746,1.33717,0.009703,0.009703,0.009703
11,1302.35,1.47364,1.18766,1.24121,0.59004,0.4742,0.46693,0.25986,1.58969,1.12397,1.31459,0.00967,0.00967,0.00967
12,1462.7,1.46458,1.15487,1.22633,0.53871,0.43746,0.46296,0.25847,1.58191,1.09783,1.303,0.009637,0.009637,0.009637
13,1578.39,1.43804,1.10893,1.21292,0.63671,0.4535,0.47385,0.27842,1.52257,1.07375,1.26668,0.009604,0.009604,0.009604
14,1692.92,1.43112,1.08175,1.2061,0.61918,0.42168,0.44938,0.23125,1.67673,1.13605,1.33901,0.009571,0.009571,0.009571
15,1808.34,1.42325,1.07689,1.21117,0.5576,0.4586,0.45438,0.24303,1.62252,1.08635,1.3266,0.009538,0.009538,0.009538
16,1920.33,1.40989,1.0598,1.2073,0.56708,0.49007,0.48427,0.26863,1.59,1.04598,1.29965,0.009505,0.009505,0.009505
17,2040.83,1.40219,1.03625,1.19884,0.5804,0.49362,0.48398,0.2605,1.64627,1.10391,1.33119,0.009472,0.009472,0.009472
18,2163.9,1.39149,1.0303,1.19524,0.61363,0.51156,0.50595,0.30017,1.47457,0.98538,1.25502,0.009439,0.009439,0.009439
19,2277.51,1.37583,0.98593,1.17972,0.63093,0.48825,0.49197,0.27426,1.56936,1.01837,1.28617,0.009406,0.009406,0.009406
20,2454.4,1.39196,1.00767,1.18062,0.63629,0.49893,0.50036,0.27977,1.55713,1.03288,1.28626,0.009373,0.009373,0.009373
21,2566.59,1.35705,0.97277,1.18099,0.62178,0.49672,0.49676,0.28867,1.53486,1.00798,1.27702,0.00934,0.00934,0.00934
22,2678.35,1.36353,0.97314,1.17537,0.65937,0.51152,0.51285,0.30578,1.48059,0.95999,1.23861,0.009307,0.009307,0.009307
23,2793.7,1.35466,0.96108,1.16853,0.61179,0.49014,0.49582,0.27748,1.55025,1.00206,1.28113,0.009274,0.009274,0.009274
24,2947.65,1.34185,0.94589,1.16636,0.63117,0.50856,0.51864,0.30628,1.47194,0.92149,1.24894,0.009241,0.009241,0.009241
25,3060.62,1.32653,0.91944,1.155,0.57792,0.51572,0.50248,0.28506,1.55017,0.96992,1.26678,0.009208,0.009208,0.009208
26,3174.91,1.32351,0.91782,1.16098,0.6356,0.52373,0.53113,0.33572,1.39829,0.91119,1.2227,0.009175,0.009175,0.009175
27,3290.05,1.31704,0.91314,1.15331,0.57961,0.51123,0.52121,0.31856,1.44659,0.91276,1.23398,0.009142,0.009142,0.009142
28,3413.01,1.31448,0.89773,1.15131,0.60588,0.51218,0.51448,0.29801,1.49596,0.94802,1.25505,0.009109,0.009109,0.009109
29,3526.32,1.31225,0.9013,1.14825,0.60865,0.52898,0.52489,0.3043,1.51334,0.92952,1.25684,0.009076,0.009076,0.009076
30,3640.52,1.31009,0.8876,1.15117,0.58722,0.51094,0.51852,0.30113,1.50681,0.93023,1.25749,0.009043,0.009043,0.009043
31,3762.87,1.30236,0.88635,1.14298,0.61299,0.52228,0.52788,0.30871,1.50502,0.91617,1.26387,0.00901,0.00901,0.00901
32,4097.33,1.30099,0.87967,1.14362,0.62103,0.5054,0.5186,0.30268,1.48098,0.90505,1.24283,0.008977,0.008977,0.008977
33,4210.85,1.28926,0.86413,1.13946,0.57328,0.53275,0.53051,0.32477,1.44109,0.89617,1.22667,0.008944,0.008944,0.008944
34,4338.09,1.27769,0.8553,1.1386,0.61302,0.51111,0.52167,0.32243,1.39855,0.86079,1.21092,0.008911,0.008911,0.008911
35,4450,1.27348,0.84515,1.13691,0.57568,0.52841,0.52882,0.31487,1.46385,0.90447,1.2371,0.008878,0.008878,0.008878
36,4564.57,1.2736,0.84367,1.13036,0.59823,0.53083,0.5247,0.30836,1.47323,0.89076,1.23856,0.008845,0.008845,0.008845
37,4678.94,1.25271,0.82089,1.12456,0.5559,0.5456,0.53048,0.31107,1.47676,0.89279,1.23756,0.008812,0.008812,0.008812
38,4793.53,1.25846,0.82556,1.12119,0.58127,0.53486,0.53104,0.32098,1.42259,0.86437,1.22031,0.008779,0.008779,0.008779
39,4916.87,1.25611,0.82589,1.12092,0.59898,0.5234,0.52456,0.31355,1.44353,0.89386,1.21927,0.008746,0.008746,0.008746
40,5029.35,1.23969,0.81534,1.11558,0.57954,0.55416,0.54021,0.31028,1.50733,0.87967,1.25188,0.008713,0.008713,0.008713
41,5142.87,1.25389,0.81245,1.12104,0.60029,0.52204,0.54217,0.34928,1.33139,0.85128,1.17542,0.00868,0.00868,0.00868
42,5260.3,1.24165,0.80995,1.11147,0.59965,0.53072,0.52826,0.31495,1.46173,0.90447,1.2432,0.008647,0.008647,0.008647
43,5372.71,1.23595,0.80096,1.11265,0.57979,0.54777,0.53481,0.33099,1.41385,0.88104,1.21828,0.008614,0.008614,0.008614
44,5557.6,1.22425,0.78724,1.10846,0.57928,0.54313,0.54161,0.32592,1.46103,0.87978,1.233,0.008581,0.008581,0.008581
45,5672.1,1.22387,0.79469,1.11055,0.58053,0.56427,0.53837,0.31774,1.47249,0.85857,1.23329,0.008548,0.008548,0.008548
46,5785.85,1.21651,0.77492,1.09999,0.63354,0.52749,0.54291,0.33294,1.41874,0.85584,1.20662,0.008515,0.008515,0.008515
47,6050.47,1.2194,0.79004,1.10334,0.59264,0.52122,0.52417,0.29515,1.5591,0.8964,1.28113,0.008482,0.008482,0.008482
48,6162.74,1.21274,0.78219,1.10171,0.57714,0.52336,0.53596,0.3053,1.53545,0.89618,1.27862,0.008449,0.008449,0.008449
49,6278.18,1.20478,0.77191,1.10027,0.58405,0.54485,0.54109,0.31719,1.47753,0.88465,1.2446,0.008416,0.008416,0.008416
50,6389.91,1.20385,0.76898,1.10454,0.59881,0.53623,0.55092,0.34351,1.38439,0.85298,1.20386,0.008383,0.008383,0.008383
51,6504.11,1.21003,0.76946,1.09318,0.56313,0.55368,0.54203,0.34793,1.34661,0.82228,1.18247,0.00835,0.00835,0.00835
52,6618.22,1.18916,0.74459,1.09216,0.59075,0.55226,0.54075,0.34161,1.38479,0.82516,1.19579,0.008317,0.008317,0.008317
53,6730.74,1.19814,0.75843,1.09737,0.57102,0.56387,0.54982,0.337,1.40335,0.83197,1.20247,0.008284,0.008284,0.008284
54,6848.55,1.19044,0.75304,1.08914,0.61328,0.55375,0.54771,0.33507,1.40823,0.81915,1.19766,0.008251,0.008251,0.008251
55,6960.23,1.18365,0.74649,1.0904,0.59057,0.56337,0.55308,0.3573,1.34759,0.83117,1.19509,0.008218,0.008218,0.008218
56,7115.72,1.177,0.74512,1.09098,0.58598,0.55712,0.54718,0.33316,1.42119,0.82584,1.21268,0.008185,0.008185,0.008185
57,7238.27,1.17646,0.73981,1.08016,0.57663,0.56133,0.54785,0.34811,1.36979,0.80886,1.18766,0.008152,0.008152,0.008152
58,7392.21,1.17152,0.74241,1.08453,0.60526,0.56772,0.5501,0.36114,1.31801,0.81353,1.17617,0.008119,0.008119,0.008119
59,7503.77,1.16374,0.7312,1.07987,0.59291,0.53724,0.54694,0.35181,1.34087,0.81775,1.18154,0.008086,0.008086,0.008086
60,7616.68,1.15537,0.71902,1.07057,0.58604,0.57219,0.55408,0.35503,1.35294,0.81624,1.1854,0.008053,0.008053,0.008053
61,7732.37,1.16426,0.73082,1.07527,0.59444,0.55761,0.5531,0.34547,1.37907,0.84057,1.19796,0.00802,0.00802,0.00802
62,7852.09,1.15925,0.72479,1.07529,0.62891,0.53419,0.55525,0.34204,1.40499,0.82811,1.20723,0.007987,0.007987,0.007987
63,7967.54,1.16377,0.72377,1.07923,0.56633,0.5606,0.54563,0.33692,1.39443,0.82255,1.20471,0.007954,0.007954,0.007954
64,8080.57,1.14941,0.71281,1.06852,0.59293,0.54418,0.55432,0.3454,1.38715,0.82458,1.19868,0.007921,0.007921,0.007921
65,8193.21,1.14715,0.71229,1.07696,0.6044,0.57576,0.56381,0.35971,1.34677,0.80458,1.1876,0.007888,0.007888,0.007888
66,8312.34,1.16003,0.7314,1.08041,0.5701,0.57411,0.55402,0.36255,1.31278,0.79608,1.17359,0.007855,0.007855,0.007855
