epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0908,1.60833,0.90383,1.30209,0.76321,0.67112,0.70334,0.46431,1.34675,0.69344,1.09036,0.000993631,0.000993631,0.000993631
2,95.4472,1.43097,0.77449,1.13316,0.75203,0.69265,0.71641,0.45976,1.46752,0.69728,1.11775,0.00198968,0.00198968,0.00198968
3,138.948,1.39856,0.76374,1.11759,0.77794,0.68491,0.73257,0.48803,1.32861,0.68693,1.07207,0.00298178,0.00298178,0.00298178
4,183.641,1.39205,0.7874,1.11004,0.81402,0.5895,0.6817,0.44957,1.32771,0.74969,1.06923,0.00396991,0.00396991,0.00396991
5,230.46,1.39859,0.78776,1.11996,0.75609,0.66536,0.72147,0.47098,1.35581,0.72386,1.07669,0.00495408,0.00495408,0.00495408
6,273.621,1.40476,0.79169,1.11415,0.76806,0.6705,0.72076,0.44936,1.49879,0.77052,1.11842,0.00593429,0.00593429,0.00593429
7,318.035,1.42061,0.81355,1.11508,0.80778,0.64442,0.69559,0.44271,1.45698,0.75772,1.10681,0.00691055,0.00691055,0.00691055
8,361.663,1.46316,0.86853,1.13218,0.75867,0.61825,0.6706,0.40472,1.49381,0.81458,1.12711,0.00788284,0.00788284,0.00788284
9,404.168,1.47382,0.89234,1.14489,0.7414,0.65074,0.68709,0.42708,1.48044,0.82355,1.10878,0.00885117,0.00885117,0.00885117
10,447.274,1.48288,0.9148,1.14627,0.77353,0.65101,0.68884,0.44166,1.39021,0.79095,1.07215,0.00981554,0.00981554,0.00981554
11,491.668,1.5218,0.95766,1.15377,0.68815,0.65314,0.68497,0.42476,1.44451,0.82678,1.11414,0.009802,0.009802,0.009802
12,535.185,1.51232,0.95084,1.15949,0.7187,0.62068,0.65796,0.39781,1.55071,0.90708,1.12973,0.0097822,0.0097822,0.0097822
13,578.749,1.50508,0.94052,1.14842,0.77798,0.65665,0.70713,0.40911,1.6765,0.90348,1.17841,0.0097624,0.0097624,0.0097624
14,621.946,1.50956,0.94851,1.15151,0.68141,0.62483,0.65298,0.39381,1.54014,0.84518,1.13508,0.0097426,0.0097426,0.0097426
