epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.646,1.60833,0.90383,1.30209,0.76321,0.67112,0.70334,0.46431,1.34675,0.69344,1.09036,0.000993631,0.000993631,0.000993631
2,95.8976,1.43097,0.77449,1.13316,0.75203,0.69265,0.71641,0.45976,1.46752,0.69728,1.11775,0.00198968,0.00198968,0.00198968
3,140.287,1.39856,0.76374,1.11759,0.77794,0.68491,0.73257,0.48803,1.32861,0.68693,1.07207,0.00298178,0.00298178,0.00298178
4,183.674,1.39205,0.7874,1.11004,0.81402,0.5895,0.6817,0.44957,1.32771,0.74969,1.06923,0.00396991,0.00396991,0.00396991
5,227.111,1.39859,0.78776,1.11996,0.75609,0.66536,0.72147,0.47098,1.35581,0.72386,1.07669,0.00495408,0.00495408,0.00495408
6,272.272,1.40476,0.79169,1.11415,0.76806,0.6705,0.72076,0.44936,1.49879,0.77052,1.11842,0.00593429,0.00593429,0.00593429
7,315.382,1.42061,0.81355,1.11508,0.80778,0.64442,0.69559,0.44271,1.45698,0.75772,1.10681,0.00691055,0.00691055,0.00691055
8,358.263,1.46316,0.86853,1.13218,0.75867,0.61825,0.6706,0.40472,1.49381,0.81458,1.12711,0.00788284,0.00788284,0.00788284
9,401.769,1.47382,0.89234,1.14489,0.7414,0.65074,0.68709,0.42708,1.48044,0.82355,1.10878,0.00885117,0.00885117,0.00885117
10,447.723,1.48288,0.9148,1.14627,0.77353,0.65101,0.68884,0.44166,1.39021,0.79095,1.07215,0.00981554,0.00981554,0.00981554
11,490.104,1.5218,0.95766,1.15377,0.68815,0.65314,0.68497,0.42476,1.44451,0.82678,1.11414,0.009802,0.009802,0.009802
12,532.336,1.51232,0.95084,1.15949,0.7187,0.62068,0.65796,0.39781,1.55071,0.90708,1.12973,0.0097822,0.0097822,0.0097822
13,575.072,1.50508,0.94052,1.14842,0.77798,0.65665,0.70713,0.40911,1.6765,0.90348,1.17841,0.0097624,0.0097624,0.0097624
14,619.664,1.50956,0.94851,1.15151,0.68141,0.62483,0.65298,0.39381,1.54014,0.84518,1.13508,0.0097426,0.0097426,0.0097426
15,661.892,1.50283,0.93338,1.14908,0.78443,0.60212,0.64099,0.35393,1.95026,1.00539,1.28238,0.0097228,0.0097228,0.0097228
16,705.344,1.49585,0.93439,1.13835,0.77492,0.59632,0.6689,0.38085,1.79208,0.92903,1.23229,0.009703,0.009703,0.009703
17,750.992,1.47151,0.91904,1.12692,0.77592,0.65099,0.69325,0.40742,1.66518,0.85084,1.17254,0.0096832,0.0096832,0.0096832
18,792.626,1.48302,0.9128,1.13358,0.7871,0.62927,0.68308,0.39255,1.71678,0.88115,1.18228,0.0096634,0.0096634,0.0096634
19,834.568,1.47669,0.91998,1.13812,0.83206,0.63139,0.70375,0.40033,1.74198,0.85652,1.20401,0.0096436,0.0096436,0.0096436
20,877.23,1.46322,0.9086,1.13048,0.77811,0.61537,0.67079,0.38989,1.61448,0.88765,1.16079,0.0096238,0.0096238,0.0096238
21,919.246,1.43321,0.88813,1.12267,0.79677,0.63546,0.7045,0.41988,1.61268,0.80568,1.15139,0.009604,0.009604,0.009604
22,964.567,1.45632,0.89969,1.13349,0.74773,0.58885,0.64035,0.35507,1.83978,0.92864,1.24714,0.0095842,0.0095842,0.0095842
23,1008.33,1.44549,0.87916,1.11972,0.73891,0.62706,0.67196,0.39924,1.63196,0.87356,1.16407,0.0095644,0.0095644,0.0095644
24,1050.7,1.43132,0.87584,1.10952,0.77644,0.62504,0.66471,0.37597,1.69907,0.87941,1.17823,0.0095446,0.0095446,0.0095446
25,1095.49,1.44173,0.88724,1.11835,0.7317,0.67887,0.72025,0.43256,1.58955,0.84856,1.14243,0.0095248,0.0095248,0.0095248
26,1137.86,1.42686,0.87117,1.10961,0.82027,0.659,0.72113,0.44066,1.5165,0.80036,1.11742,0.009505,0.009505,0.009505
27,1180.59,1.42873,0.86581,1.11223,0.86176,0.62413,0.73083,0.45155,1.55393,0.78397,1.13043,0.0094852,0.0094852,0.0094852
28,1223.11,1.40245,0.85403,1.11133,0.8535,0.63892,0.7104,0.4278,1.56649,0.79848,1.13897,0.0094654,0.0094654,0.0094654
29,1267.88,1.41263,0.86051,1.10993,0.74834,0.60936,0.66791,0.37029,2.02178,1.00341,1.33317,0.0094456,0.0094456,0.0094456
30,1310.9,1.38561,0.83007,1.09832,0.73787,0.67602,0.70833,0.41916,1.62214,0.81774,1.16019,0.0094258,0.0094258,0.0094258
31,1355.82,1.41037,0.8529,1.10219,0.80867,0.6507,0.70343,0.4183,1.60771,0.80466,1.14221,0.009406,0.009406,0.009406
32,1402.65,1.40602,0.83701,1.09739,0.81589,0.65983,0.7296,0.42505,1.72067,0.83496,1.18515,0.0093862,0.0093862,0.0093862
33,1447.18,1.38471,0.82693,1.09574,0.69989,0.63373,0.67304,0.39456,1.78026,0.91722,1.22035,0.0093664,0.0093664,0.0093664
34,1492.05,1.39189,0.82521,1.10247,0.75812,0.67041,0.72216,0.42763,1.59637,0.8029,1.14788,0.0093466,0.0093466,0.0093466
35,1538.04,1.38271,0.81305,1.09452,0.78093,0.66798,0.71686,0.41522,1.89045,0.86974,1.27007,0.0093268,0.0093268,0.0093268
36,1580.7,1.37211,0.81599,1.09393,0.76512,0.67215,0.71242,0.4254,1.58617,0.81227,1.13847,0.009307,0.009307,0.009307
37,1623.4,1.37075,0.81205,1.0977,0.77968,0.65282,0.69639,0.39785,1.8193,0.87988,1.22761,0.0092872,0.0092872,0.0092872
38,1666.77,1.3611,0.80729,1.08336,0.77861,0.69693,0.72804,0.44963,1.51056,0.77453,1.10963,0.0092674,0.0092674,0.0092674
39,1713.62,1.36327,0.81957,1.08938,0.82435,0.64869,0.73067,0.43193,1.62896,0.8224,1.16899,0.0092476,0.0092476,0.0092476
40,1757.98,1.36095,0.80889,1.08778,0.79895,0.67779,0.72822,0.41584,1.84355,0.83069,1.26178,0.0092278,0.0092278,0.0092278
41,1802.1,1.36386,0.81357,1.08976,0.82363,0.6904,0.7421,0.4349,1.75353,0.82184,1.20209,0.009208,0.009208,0.009208
42,1849.66,1.36566,0.80739,1.0871,0.80914,0.72375,0.77453,0.46464,1.64813,0.76879,1.16129,0.0091882,0.0091882,0.0091882
43,1894.12,1.36423,0.79567,1.08779,0.75816,0.66469,0.71888,0.41288,1.82832,0.86027,1.25888,0.0091684,0.0091684,0.0091684
44,1938.79,1.34145,0.78957,1.083,0.80316,0.64495,0.70437,0.4067,1.84283,0.85446,1.254,0.0091486,0.0091486,0.0091486
45,1983.76,1.35194,0.79362,1.08823,0.78753,0.69895,0.75842,0.46178,1.56225,0.76448,1.1291,0.0091288,0.0091288,0.0091288
46,2030.33,1.32554,0.77282,1.07786,0.76009,0.71685,0.74139,0.44129,1.7132,0.78821,1.2038,0.009109,0.009109,0.009109
47,2075.41,1.35041,0.7967,1.0809,0.78099,0.67823,0.7163,0.41057,1.8044,0.82857,1.23086,0.0090892,0.0090892,0.0090892
48,2120.11,1.35711,0.79589,1.08743,0.79176,0.69517,0.75155,0.45047,1.71066,0.7927,1.19424,0.0090694,0.0090694,0.0090694
49,2166.49,1.35047,0.80417,1.09606,0.80399,0.68296,0.7486,0.44936,1.68019,0.79912,1.18162,0.0090496,0.0090496,0.0090496
50,2208.54,1.32487,0.77912,1.08561,0.78238,0.67335,0.70913,0.42542,1.63923,0.77956,1.155,0.0090298,0.0090298,0.0090298
51,2250.51,1.34993,0.78226,1.08271,0.73601,0.67846,0.70493,0.40533,1.77813,0.83285,1.21275,0.00901,0.00901,0.00901
52,2293.57,1.34502,0.7804,1.0849,0.82751,0.65267,0.71561,0.424,1.70079,0.81018,1.18601,0.0089902,0.0089902,0.0089902
53,2339.51,1.32858,0.7717,1.074,0.83528,0.65116,0.72402,0.43587,1.66566,0.81747,1.16788,0.0089704,0.0089704,0.0089704
54,2381.94,1.32279,0.77112,1.06866,0.79665,0.68353,0.75583,0.46561,1.59509,0.77679,1.14867,0.0089506,0.0089506,0.0089506
55,2424.11,1.32311,0.76514,1.07337,0.79114,0.69803,0.74957,0.4451,1.67516,0.77447,1.17168,0.0089308,0.0089308,0.0089308
56,2470.85,1.33138,0.77103,1.06588,0.76684,0.68492,0.72929,0.42965,1.84088,0.86623,1.24326,0.008911,0.008911,0.008911
57,2515.7,1.34072,0.78889,1.07571,0.76689,0.70277,0.7388,0.43483,1.69648,0.80245,1.18656,0.0088912,0.0088912,0.0088912
58,2560.17,1.3253,0.77579,1.08192,0.79204,0.66779,0.73486,0.44095,1.67995,0.80908,1.17509,0.0088714,0.0088714,0.0088714
59,2607.14,1.32908,0.77766,1.06995,0.74084,0.68857,0.73912,0.44539,1.65,0.77201,1.16909,0.0088516,0.0088516,0.0088516
60,2650.6,1.32896,0.76827,1.07136,0.80526,0.65938,0.71581,0.42964,1.75194,0.85006,1.21319,0.0088318,0.0088318,0.0088318
61,2694.78,1.31246,0.76043,1.07372,0.79569,0.70072,0.76079,0.46804,1.59945,0.74365,1.14039,0.008812,0.008812,0.008812
