epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.776,0.94781,4.86008,1.31499,0.38632,0.20796,0.15193,0.10082,0.87465,7.13446,1.45738,0.0804626,0.000398722,0.000398722
2,263.09,0.91601,3.98109,1.31458,0.35386,0.24036,0.14411,0.09206,0.90774,7.94497,1.50457,0.0608626,0.000798673,0.000798673
3,390.759,0.89131,3.79875,1.29623,0.38784,0.24124,0.19628,0.13303,0.81843,3.93693,1.36723,0.0412623,0.00119843,0.00119843
4,518.612,0.85973,3.45792,1.25705,0.5362,0.28634,0.30273,0.20521,0.77946,3.26689,1.29639,0.0216617,0.00159784,0.00159784
5,645.956,0.82984,3.3203,1.23741,0.55791,0.31723,0.34393,0.24539,0.72391,2.91437,1.23406,0.00206067,0.00199677,0.00199677
6,772.878,0.80435,3.15576,1.21533,0.64639,0.33333,0.35889,0.24222,0.74346,3.06549,1.2508,0.00199695,0.00199695,0.00199695
7,899.206,0.7855,2.97837,1.19395,0.37238,0.39352,0.34996,0.24523,0.72451,2.90782,1.23203,0.00199561,0.00199561,0.00199561
8,1024.82,0.75781,2.85996,1.18274,0.55648,0.40084,0.42255,0.30961,0.69578,2.59248,1.18542,0.00199402,0.00199402,0.00199402
9,1151.35,0.75359,2.79719,1.17375,0.65232,0.41638,0.45464,0.33258,0.6771,2.37853,1.16069,0.00199219,0.00199219,0.00199219
10,1278.96,0.73444,2.64389,1.15889,0.53623,0.43357,0.44767,0.33217,0.67986,2.33732,1.16329,0.00199012,0.00199012,0.00199012
11,1406.16,0.71749,2.57409,1.14121,0.74898,0.39441,0.49285,0.36504,0.67867,2.27829,1.16705,0.00198781,0.00198781,0.00198781
12,1533.19,0.71039,2.46191,1.12977,0.70414,0.45484,0.50986,0.38571,0.64042,2.22634,1.13299,0.00198526,0.00198526,0.00198526
13,1658.93,0.71121,2.48051,1.13826,0.67339,0.52166,0.55007,0.40388,0.63359,2.0491,1.13604,0.00198246,0.00198246,0.00198246
14,1786,0.70083,2.38121,1.1275,0.65369,0.50539,0.54397,0.40556,0.63319,2.18339,1.12509,0.00197943,0.00197943,0.00197943
15,1912.74,0.68728,2.35855,1.11986,0.64096,0.52816,0.57329,0.42481,0.63596,1.99376,1.13008,0.00197616,0.00197616,0.00197616
16,2040.61,0.69299,2.34467,1.11983,0.72264,0.49924,0.59976,0.44492,0.61584,1.96724,1.11245,0.00197265,0.00197265,0.00197265
17,2167.72,0.68741,2.26575,1.10948,0.61661,0.56955,0.58301,0.44521,0.6271,1.95206,1.11835,0.0019689,0.0019689,0.0019689
18,2297.36,0.68699,2.25311,1.10978,0.76121,0.51339,0.62328,0.47537,0.60302,1.87736,1.09662,0.00196491,0.00196491,0.00196491
19,2424.94,0.67285,2.18185,1.10057,0.64085,0.61644,0.63603,0.48161,0.6099,1.89647,1.09737,0.00196069,0.00196069,0.00196069
20,2552.53,0.67555,2.183,1.10004,0.74143,0.57123,0.63282,0.4839,0.6041,1.88378,1.10677,0.00195624,0.00195624,0.00195624
21,2679.7,0.67188,2.15283,1.09437,0.67604,0.56427,0.63549,0.48273,0.60468,1.83825,1.09548,0.00195155,0.00195155,0.00195155
22,2806.53,0.66163,2.12437,1.08963,0.73418,0.58892,0.64071,0.49082,0.5886,1.77013,1.09221,0.00194662,0.00194662,0.00194662
23,2932.95,0.65006,2.00857,1.07509,0.77992,0.6111,0.67846,0.51916,0.59784,1.71497,1.09022,0.00194147,0.00194147,0.00194147
24,3059.71,0.65828,2.07149,1.08555,0.71972,0.62006,0.69098,0.53428,0.57792,1.71919,1.06865,0.00193609,0.00193609,0.00193609
25,3187.98,0.64835,1.98031,1.07676,0.63452,0.66343,0.68596,0.5278,0.57725,1.69395,1.06855,0.00193048,0.00193048,0.00193048
26,3315.18,0.64044,1.96355,1.07441,0.66964,0.65134,0.68715,0.5343,0.56709,1.61765,1.05857,0.00192464,0.00192464,0.00192464
27,3441,0.65188,1.94868,1.08256,0.73051,0.63091,0.69613,0.53893,0.5756,1.66224,1.06657,0.00191858,0.00191858,0.00191858
28,3568.89,0.64132,1.93097,1.07183,0.75023,0.62675,0.70194,0.53312,0.57957,1.63722,1.0738,0.00191229,0.00191229,0.00191229
29,3695.17,0.63964,1.92174,1.07389,0.7525,0.66578,0.72327,0.56567,0.57038,1.55635,1.05949,0.00190578,0.00190578,0.00190578
30,3822.87,0.62709,1.85306,1.06407,0.81148,0.60464,0.69761,0.54073,0.56907,1.55174,1.05631,0.00189905,0.00189905,0.00189905
31,3949.91,0.63836,1.90143,1.06772,0.77944,0.6599,0.73596,0.5681,0.57904,1.53511,1.06567,0.0018921,0.0018921,0.0018921
32,4077.59,0.62987,1.84228,1.05756,0.76811,0.67119,0.73996,0.57364,0.56633,1.48979,1.05664,0.00188493,0.00188493,0.00188493
33,4204.57,0.62847,1.84641,1.06268,0.75622,0.67818,0.73189,0.57645,0.56352,1.50951,1.0477,0.00187754,0.00187754,0.00187754
34,4331.43,0.62508,1.77858,1.05229,0.77034,0.6845,0.75211,0.58144,0.56255,1.51635,1.05261,0.00186995,0.00186995,0.00186995
35,4457.75,0.62923,1.82089,1.06493,0.83904,0.66171,0.75524,0.58685,0.56954,1.48052,1.06215,0.00186213,0.00186213,0.00186213
36,4584.39,0.62495,1.76942,1.05108,0.75956,0.71103,0.76703,0.59198,0.55879,1.44396,1.04574,0.00185411,0.00185411,0.00185411
37,4711.72,0.62657,1.78639,1.05457,0.76687,0.72486,0.7706,0.59808,0.56471,1.4475,1.0447,0.00184588,0.00184588,0.00184588
38,4839.2,0.62017,1.74439,1.04876,0.77477,0.68085,0.77367,0.60733,0.55502,1.48757,1.03735,0.00183745,0.00183745,0.00183745
39,4965.85,0.61576,1.73953,1.04408,0.79079,0.69986,0.77038,0.60595,0.54685,1.39435,1.04029,0.00182881,0.00182881,0.00182881
40,5092.48,0.61432,1.73509,1.038,0.80125,0.71537,0.76908,0.60955,0.54849,1.41429,1.03922,0.00181997,0.00181997,0.00181997
41,5219.59,0.61325,1.70035,1.04423,0.79886,0.71193,0.78387,0.61568,0.54052,1.33907,1.02959,0.00181093,0.00181093,0.00181093
42,5346.26,0.60949,1.66055,1.03404,0.79616,0.74633,0.79355,0.62442,0.54071,1.33669,1.02677,0.00180169,0.00180169,0.00180169
43,5473.56,0.60902,1.69797,1.03856,0.85308,0.71463,0.79074,0.62924,0.53517,1.36687,1.02218,0.00179225,0.00179225,0.00179225
44,5600.57,0.60297,1.66904,1.03039,0.77777,0.7432,0.78272,0.61579,0.54228,1.34776,1.021,0.00178263,0.00178263,0.00178263
45,5732.52,0.60811,1.63164,1.03364,0.78482,0.75157,0.79748,0.6298,0.53713,1.33508,1.0181,0.00177281,0.00177281,0.00177281
