epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5526,1.89741,2.24283,1.34298,0.13115,0.17299,0.08674,0.0198,3.14119,31.03,1.83948,0.0673438,0.000329861,0.000329861
2,60.9842,1.49242,1.26189,1.09501,0.54263,0.37038,0.37738,0.11031,2.65759,1.96798,1.55768,0.0343416,0.000661006,0.000661006
3,88.7705,1.46153,1.1268,1.08481,0.5082,0.46593,0.44362,0.11739,2.43934,2.16128,1.50721,0.00133717,0.000989951,0.000989951
4,115.922,1.39597,1.06475,1.0679,0.83507,0.71758,0.774,0.25934,2.24416,1.43269,1.31629,0.0009901,0.0009901,0.0009901
5,143.068,1.37441,0.97636,1.0446,0.83707,0.75403,0.81323,0.34764,1.83925,1.09654,1.17841,0.0009868,0.0009868,0.0009868
6,170.167,1.35691,0.92638,1.05286,0.67555,0.5496,0.53818,0.12941,2.61622,1.45675,1.56978,0.0009835,0.0009835,0.0009835
7,197.301,1.34317,0.90078,1.04018,0.49822,0.39674,0.32939,0.06747,3.01098,1.48627,1.92346,0.0009802,0.0009802,0.0009802
8,224.377,1.27214,0.82729,1.01325,0.64779,0.6043,0.57469,0.13943,2.63123,1.25876,1.61307,0.0009769,0.0009769,0.0009769
9,250.587,1.3448,0.88908,1.04089,0.67925,0.57243,0.54083,0.12683,2.67147,1.26452,1.62726,0.0009736,0.0009736,0.0009736
10,277.388,1.25002,0.81054,1.00715,0.84275,0.7712,0.81476,0.27892,2.19121,1.1199,1.33063,0.0009703,0.0009703,0.0009703
11,304.389,1.2365,0.78762,1.00289,0.63405,0.5667,0.51883,0.11452,2.83993,1.13829,1.77904,0.000967,0.000967,0.000967
12,333.069,1.21552,0.7542,0.99983,0.84856,0.74122,0.79883,0.2315,2.3491,1.06937,1.41752,0.0009637,0.0009637,0.0009637
13,360.058,1.1922,0.74432,0.98954,0.92081,0.84797,0.92263,0.54173,1.43558,0.80257,1.01722,0.0009604,0.0009604,0.0009604
14,387.597,1.17652,0.70494,0.98122,0.85564,0.76775,0.79657,0.24237,2.37066,1.01852,1.43349,0.0009571,0.0009571,0.0009571
15,414.447,1.19572,0.73059,0.99307,0.83316,0.78932,0.80986,0.25854,2.25957,0.99533,1.36538,0.0009538,0.0009538,0.0009538
16,440.895,1.1545,0.69979,0.97141,0.94502,0.83397,0.92846,0.54025,1.52808,0.81134,1.05126,0.0009505,0.0009505,0.0009505
17,468.113,1.18603,0.69914,0.99063,0.92993,0.86553,0.92773,0.43033,1.84616,0.81086,1.1688,0.0009472,0.0009472,0.0009472
18,495.488,1.20034,0.69399,0.9896,0.94248,0.88762,0.94533,0.51167,1.58728,0.74242,1.06657,0.0009439,0.0009439,0.0009439
19,522.426,1.14782,0.68338,0.97833,0.90281,0.83445,0.89194,0.32077,2.12882,0.90301,1.28172,0.0009406,0.0009406,0.0009406
20,550.144,1.14084,0.67838,0.96789,0.96557,0.88048,0.95661,0.5787,1.41797,0.67316,1.01263,0.0009373,0.0009373,0.0009373
21,577.323,1.17188,0.66861,0.97422,0.91034,0.88282,0.921,0.35511,2.07586,0.80351,1.26656,0.000934,0.000934,0.000934
22,606.193,1.11412,0.62874,0.96249,0.94298,0.89441,0.94893,0.55447,1.4945,0.69798,1.03897,0.0009307,0.0009307,0.0009307
23,634.094,1.16335,0.64445,0.96942,0.91203,0.86191,0.89453,0.30988,2.16407,0.83041,1.30673,0.0009274,0.0009274,0.0009274
24,660.657,1.14159,0.64188,0.96753,0.93609,0.89274,0.93369,0.40679,1.90865,0.76999,1.19837,0.0009241,0.0009241,0.0009241
25,687.322,1.16867,0.65009,0.97699,0.9642,0.92525,0.96744,0.62611,1.32691,0.61155,0.98725,0.0009208,0.0009208,0.0009208
26,714.111,1.11632,0.64366,0.96054,0.94418,0.91928,0.9606,0.59906,1.35897,0.63959,0.99545,0.0009175,0.0009175,0.0009175
27,741.174,1.0789,0.61705,0.95241,0.9481,0.9149,0.9587,0.6748,1.18074,0.59751,0.95467,0.0009142,0.0009142,0.0009142
28,768.558,1.12147,0.62536,0.96181,0.94367,0.90948,0.95523,0.5637,1.50751,0.67829,1.03061,0.0009109,0.0009109,0.0009109
29,795.256,1.10142,0.6183,0.96174,0.93694,0.88066,0.94145,0.49031,1.62263,0.74801,1.0673,0.0009076,0.0009076,0.0009076
30,821.788,1.11126,0.61832,0.96583,0.95832,0.9095,0.96055,0.52424,1.62592,0.69463,1.0769,0.0009043,0.0009043,0.0009043
31,850.854,1.1109,0.61217,0.95768,0.94629,0.90997,0.95847,0.55489,1.49907,0.6569,1.03904,0.000901,0.000901,0.000901
32,877.497,1.08386,0.59013,0.95531,0.94973,0.92506,0.96625,0.69061,1.14169,0.56602,0.93678,0.0008977,0.0008977,0.0008977
33,904.745,1.12615,0.61541,0.95894,0.95125,0.90936,0.96182,0.55814,1.52319,0.68384,1.03496,0.0008944,0.0008944,0.0008944
34,931.608,1.06231,0.60125,0.95067,0.95624,0.9003,0.95461,0.52709,1.61774,0.68969,1.07614,0.0008911,0.0008911,0.0008911
35,959.029,1.06878,0.59108,0.94822,0.95903,0.92332,0.9653,0.6793,1.19848,0.5666,0.94998,0.0008878,0.0008878,0.0008878
36,986.16,1.0844,0.61045,0.94961,0.95366,0.92091,0.96788,0.7184,1.0834,0.55554,0.92092,0.0008845,0.0008845,0.0008845
37,1013.19,1.02537,0.5883,0.93943,0.94616,0.92691,0.96462,0.62455,1.3284,0.59752,0.99011,0.0008812,0.0008812,0.0008812
