epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.678,1.84445,1.77886,1.50971,0.75155,0.67844,0.68954,0.38076,1.63831,1.76948,1.63963,0.0676111,0.00032716,0.00032716
2,39.5853,1.72309,1.06297,1.47027,0.57727,0.54351,0.54674,0.3124,1.73079,1.44977,1.66645,0.0346046,0.000653955,0.000653955
3,52.5028,1.6537,0.91922,1.40867,0.62115,0.50318,0.4867,0.18134,2.17374,1.68125,2.04072,0.00159143,0.000974149,0.000974149
4,67.6705,1.66732,0.9455,1.43058,0.71556,0.63387,0.65301,0.32305,1.83138,1.19693,1.74422,0.0009703,0.0009703,0.0009703
5,80.2669,1.62419,0.89165,1.40034,0.8017,0.71233,0.75921,0.44843,1.58969,0.79709,1.49114,0.0009604,0.0009604,0.0009604
6,96.0859,1.61254,0.87923,1.40306,0.77999,0.75386,0.74906,0.45638,1.4898,0.85093,1.44609,0.0009505,0.0009505,0.0009505
7,109.106,1.59012,0.86055,1.38523,0.60875,0.68089,0.68847,0.36362,1.67617,1.11813,1.61691,0.0009406,0.0009406,0.0009406
8,121.654,1.56298,0.83207,1.37645,0.76027,0.73748,0.76126,0.42947,1.65804,0.84664,1.58059,0.0009307,0.0009307,0.0009307
9,136.854,1.55942,0.83171,1.37122,0.82639,0.75119,0.84931,0.51613,1.53634,0.76419,1.51146,0.0009208,0.0009208,0.0009208
10,149.741,1.54172,0.7925,1.35065,0.64846,0.80105,0.79384,0.47297,1.59699,0.89327,1.48314,0.0009109,0.0009109,0.0009109
11,164.565,1.56517,0.80668,1.3715,0.79151,0.77338,0.81379,0.46592,1.68104,0.79456,1.58215,0.000901,0.000901,0.000901
12,177.147,1.54757,0.79526,1.34919,0.75608,0.82329,0.85446,0.49343,1.63254,0.80171,1.52966,0.0008911,0.0008911,0.0008911
13,190.066,1.52141,0.75026,1.34507,0.75515,0.81421,0.80552,0.48516,1.63736,0.7429,1.56251,0.0008812,0.0008812,0.0008812
14,205.456,1.51196,0.77623,1.33583,0.81735,0.82684,0.84146,0.53155,1.56124,0.74209,1.49912,0.0008713,0.0008713,0.0008713
15,218.511,1.50748,0.77232,1.33139,0.76905,0.75945,0.80452,0.48654,1.50948,0.7589,1.45222,0.0008614,0.0008614,0.0008614
16,233.769,1.48665,0.73793,1.31621,0.86754,0.812,0.86491,0.56095,1.47579,0.67288,1.42172,0.0008515,0.0008515,0.0008515
17,247.011,1.4811,0.72702,1.31711,0.84174,0.81703,0.85728,0.55455,1.46964,0.66553,1.42624,0.0008416,0.0008416,0.0008416
18,259.485,1.47349,0.72382,1.31047,0.77754,0.82022,0.79531,0.50122,1.47124,0.71311,1.42309,0.0008317,0.0008317,0.0008317
19,275.212,1.4611,0.72789,1.31219,0.77865,0.80684,0.82807,0.50602,1.4511,0.74054,1.40935,0.0008218,0.0008218,0.0008218
20,288.491,1.44952,0.70242,1.30172,0.77166,0.83834,0.83357,0.53534,1.47801,0.66331,1.43772,0.0008119,0.0008119,0.0008119
21,303.7,1.45229,0.70314,1.30808,0.79859,0.82671,0.85584,0.56241,1.43369,0.69017,1.3829,0.000802,0.000802,0.000802
22,316.282,1.43026,0.69172,1.28567,0.84043,0.81093,0.8609,0.54909,1.53788,0.70854,1.4427,0.0007921,0.0007921,0.0007921
23,329.047,1.45018,0.70705,1.322,0.72456,0.80466,0.82779,0.50866,1.57348,0.77819,1.47881,0.0007822,0.0007822,0.0007822
24,344.458,1.43252,0.67063,1.31419,0.82019,0.81143,0.85578,0.53455,1.60834,0.67333,1.55158,0.0007723,0.0007723,0.0007723
25,357.098,1.43299,0.71543,1.31175,0.74207,0.82296,0.84605,0.5273,1.54086,0.76999,1.46726,0.0007624,0.0007624,0.0007624
26,372.905,1.41212,0.66046,1.30178,0.82657,0.80526,0.86665,0.54924,1.4549,0.66204,1.44002,0.0007525,0.0007525,0.0007525
27,386.217,1.41737,0.66994,1.29592,0.81469,0.80211,0.84768,0.54257,1.52347,0.71132,1.44663,0.0007426,0.0007426,0.0007426
28,399.39,1.42348,0.67335,1.30517,0.84046,0.82622,0.85626,0.52832,1.65171,0.70507,1.55673,0.0007327,0.0007327,0.0007327
29,414.826,1.39496,0.64662,1.28164,0.79968,0.82468,0.84848,0.52787,1.4828,0.66473,1.42467,0.0007228,0.0007228,0.0007228
30,427.346,1.40075,0.64474,1.28832,0.84546,0.8058,0.85821,0.54682,1.52402,0.70135,1.4586,0.0007129,0.0007129,0.0007129
31,443.14,1.39396,0.64395,1.27562,0.83473,0.83908,0.86142,0.57759,1.47047,0.64048,1.41309,0.000703,0.000703,0.000703
32,456.058,1.40045,0.64562,1.29666,0.82658,0.81404,0.87141,0.57148,1.47773,0.6451,1.45099,0.0006931,0.0006931,0.0006931
33,469.622,1.37333,0.63787,1.28267,0.83242,0.85773,0.8598,0.59056,1.36826,0.63262,1.35264,0.0006832,0.0006832,0.0006832
34,485.086,1.3637,0.62935,1.26977,0.87704,0.82593,0.88203,0.58343,1.40599,0.6185,1.37198,0.0006733,0.0006733,0.0006733
35,497.755,1.36559,0.63797,1.25732,0.85903,0.85436,0.86566,0.59729,1.37157,0.63821,1.35606,0.0006634,0.0006634,0.0006634
36,513.479,1.36465,0.62285,1.26296,0.85285,0.81002,0.85447,0.54589,1.53977,0.66652,1.45682,0.0006535,0.0006535,0.0006535
37,525.945,1.36364,0.63581,1.2874,0.83989,0.82912,0.86575,0.57323,1.47336,0.69187,1.40905,0.0006436,0.0006436,0.0006436
38,539.081,1.34427,0.62528,1.25349,0.84541,0.81141,0.85647,0.55737,1.51081,0.69576,1.4638,0.0006337,0.0006337,0.0006337
39,554.92,1.36326,0.61433,1.26296,0.8186,0.84013,0.8718,0.57567,1.4864,0.6926,1.43464,0.0006238,0.0006238,0.0006238
40,568.056,1.33451,0.62006,1.26316,0.81228,0.82387,0.86424,0.56705,1.47039,0.65945,1.4463,0.0006139,0.0006139,0.0006139
41,584.486,1.36254,0.62612,1.26875,0.84772,0.8687,0.88332,0.60347,1.39999,0.63113,1.36867,0.000604,0.000604,0.000604
42,598.892,1.32626,0.60868,1.24058,0.81299,0.84184,0.8602,0.55247,1.48321,0.6557,1.46143,0.0005941,0.0005941,0.0005941
43,611.837,1.30097,0.58293,1.22044,0.82641,0.78966,0.82381,0.53,1.4539,0.64926,1.42633,0.0005842,0.0005842,0.0005842
44,624.367,1.33283,0.59603,1.23209,0.86987,0.85308,0.88106,0.57282,1.47578,0.66452,1.41647,0.0005743,0.0005743,0.0005743
45,637.81,1.30963,0.5989,1.23699,0.87885,0.80349,0.86293,0.57505,1.44195,0.65504,1.41331,0.0005644,0.0005644,0.0005644
46,653.04,1.31938,0.59707,1.24167,0.82632,0.83595,0.86431,0.58886,1.41721,0.66652,1.37613,0.0005545,0.0005545,0.0005545
47,665.768,1.31111,0.61484,1.25585,0.83941,0.83627,0.86352,0.56661,1.48936,0.64661,1.43053,0.0005446,0.0005446,0.0005446
48,680.886,1.2901,0.58838,1.21963,0.8747,0.8552,0.86819,0.57921,1.44419,0.61732,1.41067,0.0005347,0.0005347,0.0005347
49,693.983,1.31105,0.59004,1.21747,0.79866,0.83793,0.85774,0.55726,1.49262,0.70539,1.42952,0.0005248,0.0005248,0.0005248
50,707.617,1.28751,0.58588,1.22417,0.82783,0.83084,0.85989,0.55877,1.48278,0.70809,1.43154,0.0005149,0.0005149,0.0005149
51,723.179,1.26207,0.57653,1.21081,0.8333,0.84413,0.87142,0.58043,1.39837,0.6682,1.36742,0.000505,0.000505,0.000505
52,736.591,1.29973,0.57937,1.23408,0.80028,0.85985,0.86113,0.57224,1.47378,0.63713,1.43847,0.0004951,0.0004951,0.0004951
53,750.899,1.29182,0.59156,1.23582,0.81994,0.83805,0.85086,0.57597,1.35793,0.70404,1.32716,0.0004852,0.0004852,0.0004852
54,763.74,1.27796,0.57278,1.23146,0.81505,0.84226,0.8624,0.55922,1.45869,0.68469,1.41522,0.0004753,0.0004753,0.0004753
55,776.508,1.28227,0.56427,1.22186,0.86277,0.82594,0.8616,0.5847,1.44713,0.68968,1.40267,0.0004654,0.0004654,0.0004654
56,791.206,1.27431,0.56715,1.21739,0.87866,0.84723,0.87483,0.57852,1.46401,0.66108,1.42393,0.0004555,0.0004555,0.0004555
57,804.652,1.2814,0.56824,1.20688,0.85332,0.84015,0.86662,0.58414,1.46984,0.70198,1.42696,0.0004456,0.0004456,0.0004456
58,819.362,1.26092,0.56156,1.19894,0.84941,0.85957,0.8757,0.57712,1.50087,0.68357,1.49023,0.0004357,0.0004357,0.0004357
59,832.264,1.23455,0.55346,1.20372,0.87169,0.82759,0.87831,0.60668,1.32972,0.63345,1.31508,0.0004258,0.0004258,0.0004258
60,845.346,1.22493,0.54532,1.1931,0.82892,0.82083,0.87021,0.59172,1.39767,0.65266,1.36747,0.0004159,0.0004159,0.0004159
61,860.343,1.22662,0.5498,1.19653,0.84269,0.83533,0.8601,0.59149,1.34831,0.65733,1.32584,0.000406,0.000406,0.000406
62,873.146,1.22043,0.54843,1.19522,0.8708,0.81879,0.8628,0.58807,1.36437,0.64481,1.36379,0.0003961,0.0003961,0.0003961
63,888.56,1.22289,0.54671,1.1932,0.88908,0.83208,0.86989,0.60129,1.40115,0.66291,1.37983,0.0003862,0.0003862,0.0003862
64,901.368,1.25437,0.56103,1.22071,0.78932,0.84256,0.85012,0.56025,1.4757,0.72746,1.4303,0.0003763,0.0003763,0.0003763
65,914.15,1.23656,0.54497,1.19634,0.87711,0.82733,0.87634,0.5967,1.4076,0.642,1.38504,0.0003664,0.0003664,0.0003664
66,929.101,1.22313,0.53553,1.20456,0.87278,0.83363,0.87335,0.58354,1.43227,0.71609,1.40911,0.0003565,0.0003565,0.0003565
67,941.838,1.21215,0.543,1.19131,0.83741,0.86856,0.86856,0.56556,1.44568,0.69531,1.41582,0.0003466,0.0003466,0.0003466
68,956.653,1.22124,0.54697,1.18004,0.86229,0.85487,0.88243,0.60446,1.32103,0.63124,1.32604,0.0003367,0.0003367,0.0003367
69,969.513,1.22053,0.54157,1.18979,0.86993,0.82566,0.88142,0.58353,1.49333,0.66705,1.46895,0.0003268,0.0003268,0.0003268
70,982.692,1.21275,0.52715,1.19031,0.88497,0.8172,0.87996,0.59715,1.45479,0.64649,1.43966,0.0003169,0.0003169,0.0003169
71,997.622,1.20736,0.53284,1.18059,0.82433,0.84002,0.85748,0.57883,1.45528,0.67365,1.41871,0.000307,0.000307,0.000307
