epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3584,1.83225,1.76898,1.48028,0.54186,0.46309,0.47658,0.17968,2.13547,2.45391,1.8152,0.0675593,0.000327684,0.000327684
2,44.6152,1.68798,1.08663,1.38826,0.58157,0.74467,0.73453,0.36566,1.89212,1.36908,1.72066,0.0345528,0.000654473,0.000654473
3,63.0298,1.68615,1.04711,1.39211,0.55201,0.66143,0.63381,0.33282,1.82487,1.41655,1.59429,0.00153963,0.000974662,0.000974662
4,83.6435,1.61704,0.94482,1.36994,0.67227,0.85461,0.84621,0.45749,1.68904,0.93036,1.46176,0.0009703,0.0009703,0.0009703
5,102.398,1.61495,0.91987,1.36207,0.71511,0.88026,0.88261,0.53838,1.48824,0.84324,1.37859,0.0009604,0.0009604,0.0009604
6,123.997,1.56401,0.88605,1.33145,0.81575,0.85905,0.91147,0.57654,1.45158,0.74386,1.30046,0.0009505,0.0009505,0.0009505
7,140.856,1.55347,0.83959,1.31659,0.89154,0.85823,0.88765,0.55247,1.42877,0.76997,1.31787,0.0009406,0.0009406,0.0009406
8,162.189,1.53104,0.81243,1.31108,0.88753,0.86319,0.88991,0.53638,1.44483,0.76278,1.33463,0.0009307,0.0009307,0.0009307
9,183.137,1.53068,0.81058,1.32005,0.84658,0.86216,0.90127,0.57805,1.37564,0.75127,1.27525,0.0009208,0.0009208,0.0009208
10,201.283,1.51544,0.80735,1.3151,0.82726,0.84453,0.90394,0.55177,1.4631,0.71402,1.3336,0.0009109,0.0009109,0.0009109
11,222.617,1.53675,0.80429,1.31549,0.82176,0.87182,0.88891,0.5194,1.53365,0.80656,1.40621,0.000901,0.000901,0.000901
12,241.226,1.52469,0.79774,1.30433,0.88523,0.85747,0.90231,0.57077,1.43079,0.79359,1.33483,0.0008911,0.0008911,0.0008911
13,261.722,1.53404,0.79033,1.30659,0.94748,0.86997,0.90651,0.58544,1.42135,0.69128,1.2897,0.0008812,0.0008812,0.0008812
14,278.524,1.48957,0.77021,1.29797,0.91162,0.87932,0.9152,0.59133,1.39785,0.63795,1.2956,0.0008713,0.0008713,0.0008713
15,299.168,1.48252,0.74124,1.29304,0.88769,0.84255,0.89326,0.53511,1.48858,0.72892,1.34988,0.0008614,0.0008614,0.0008614
16,316.996,1.46354,0.7259,1.28014,0.84176,0.86939,0.89571,0.5696,1.45718,0.69317,1.32994,0.0008515,0.0008515,0.0008515
17,337.977,1.4685,0.73539,1.2828,0.87111,0.87438,0.92711,0.57561,1.40834,0.68821,1.32461,0.0008416,0.0008416,0.0008416
18,358.662,1.4583,0.72441,1.26486,0.89168,0.85395,0.90401,0.58744,1.37872,0.66524,1.23863,0.0008317,0.0008317,0.0008317
19,376.657,1.44419,0.70458,1.26873,0.87307,0.90084,0.90859,0.60804,1.3182,0.62678,1.26642,0.0008218,0.0008218,0.0008218
20,396.865,1.43132,0.6999,1.25904,0.90468,0.90236,0.92672,0.61704,1.33917,0.63761,1.26231,0.0008119,0.0008119,0.0008119
21,414.449,1.44366,0.6951,1.26594,0.86089,0.89197,0.91775,0.60514,1.35526,0.67207,1.25399,0.000802,0.000802,0.000802
22,435.571,1.42538,0.69231,1.25741,0.91449,0.86962,0.91795,0.6175,1.32992,0.61467,1.25286,0.0007921,0.0007921,0.0007921
23,453.549,1.43265,0.69593,1.2533,0.87564,0.8998,0.90846,0.60478,1.3544,0.65871,1.27693,0.0007822,0.0007822,0.0007822
24,474.524,1.41371,0.67798,1.26139,0.90196,0.90053,0.91195,0.59697,1.40957,0.67233,1.33307,0.0007723,0.0007723,0.0007723
