epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.66213,1.13884,3.28037,1.36333,0.00029,0.02675,0.00015,2e-05,2.40524,5.16627,2.49403,0.08218,0.00018,0.00018
2,13.2293,0.88505,1.82585,1.14016,0.24695,0.6089,0.29932,0.1723,1.1572,22.3324,1.45741,0.0633682,0.000368168,0.000368168
3,19.6659,0.86387,1.48511,1.11802,0.01,0.39199,0.00752,0.00449,1.74086,inf,2.30033,0.0445545,0.000554456,0.000554456
4,26.5425,0.86194,1.45288,1.11784,0.02937,0.19436,0.02599,0.01407,2.84255,64.6743,8.82354,0.0257389,0.000738862,0.000738862
5,32.5269,0.88,1.38114,1.0993,0,0,0,0,3.45795,4639.87,17.9156,0.00692139,0.000921388,0.000921388
6,38.3947,0.89196,1.36724,1.11129,0.51907,0.19875,0.11177,0.0507,1.39168,6.62562,1.82929,0.00097525,0.00097525,0.00097525
7,44.1789,0.86415,1.25839,1.08939,0.28685,0.25636,0.12614,0.07881,1.37363,4.11696,1.72946,0.0009703,0.0009703,0.0009703
8,50.1223,0.81718,1.30791,1.0868,0.26351,0.42358,0.24965,0.17924,1.10535,3.13276,1.44753,0.00096535,0.00096535,0.00096535
9,56.0724,0.81465,1.16969,1.04728,0.61424,0.4152,0.26882,0.21413,0.91782,3.48409,1.40908,0.0009604,0.0009604,0.0009604
10,63.2638,0.8091,1.18177,1.07045,0.54334,0.53856,0.4556,0.32155,0.79373,2.82175,1.20807,0.00095545,0.00095545,0.00095545
11,69.0624,0.81681,1.08919,1.04504,0.51059,0.48119,0.4545,0.31758,0.95103,2.29387,1.34561,0.0009505,0.0009505,0.0009505
12,74.8501,0.81341,1.08045,1.06538,0.51064,0.55583,0.50686,0.35733,0.8518,1.96601,1.22569,0.00094555,0.00094555,0.00094555
13,81.3664,0.80968,1.0535,1.05783,0.63978,0.47744,0.55474,0.38882,0.82772,1.53525,1.19135,0.0009406,0.0009406,0.0009406
14,87.5045,0.80816,1.02395,1.0583,0.5048,0.62284,0.53457,0.39927,0.82149,1.54516,1.14746,0.00093565,0.00093565,0.00093565
15,94.4689,0.75917,0.99628,1.03801,0.45455,0.75686,0.63039,0.45044,0.77936,1.24061,1.11509,0.0009307,0.0009307,0.0009307
16,100.351,0.7695,0.98239,1.04569,0.57929,0.68995,0.61119,0.45739,0.73391,1.32152,1.11331,0.00092575,0.00092575,0.00092575
17,106.071,0.74791,0.99871,1.01953,0.49118,0.74725,0.62263,0.4425,0.83307,1.39434,1.14659,0.0009208,0.0009208,0.0009208
18,111.937,0.76141,1.00345,1.04202,0.50433,0.86558,0.66724,0.46816,0.78033,1.19524,1.10757,0.00091585,0.00091585,0.00091585
19,117.824,0.73407,0.94985,1.02565,0.5919,0.82161,0.65943,0.49805,0.70718,1.25742,1.06289,0.0009109,0.0009109,0.0009109
20,124.781,0.69999,0.92999,1.00593,0.49517,0.70442,0.55665,0.4265,0.74091,1.32718,1.0898,0.00090595,0.00090595,0.00090595
21,130.803,0.70025,0.91943,1.01814,0.52488,0.76062,0.63722,0.48104,0.74658,1.10596,1.11784,0.000901,0.000901,0.000901
22,136.475,0.69053,0.87047,0.98627,0.62056,0.69478,0.69145,0.5056,0.74719,1.1186,1.11384,0.00089605,0.00089605,0.00089605
23,142.316,0.66374,0.88146,0.98996,0.51228,0.77453,0.68924,0.50476,0.74164,1.18198,1.07895,0.0008911,0.0008911,0.0008911
24,148.338,0.70313,0.90807,1.00177,0.58231,0.69386,0.5621,0.43493,0.72455,1.32473,1.08386,0.00088615,0.00088615,0.00088615
25,154.161,0.67056,0.85955,0.99179,0.62043,0.68925,0.68588,0.52745,0.71274,1.15731,1.10689,0.0008812,0.0008812,0.0008812
26,161.096,0.67706,0.88715,0.99671,0.60359,0.71319,0.72341,0.54249,0.68889,1.09222,1.07406,0.00087625,0.00087625,0.00087625
27,167.24,0.70355,0.86406,1.0108,0.51705,0.67579,0.65124,0.49222,0.71169,1.30932,1.08751,0.0008713,0.0008713,0.0008713
28,173.162,0.66047,0.83243,0.9733,0.61999,0.69774,0.69989,0.50788,0.73702,1.0995,1.12086,0.00086635,0.00086635,0.00086635
29,179.127,0.63467,0.85879,0.97611,0.61095,0.78809,0.70739,0.51536,0.78088,1.10989,1.13411,0.0008614,0.0008614,0.0008614
30,185.226,0.64913,0.85229,1.00019,0.55856,0.68029,0.67943,0.49414,0.68937,1.27092,1.08969,0.00085645,0.00085645,0.00085645
31,191.829,0.65505,0.82895,0.99457,0.54551,0.86817,0.72404,0.53348,0.68371,1.04543,1.05622,0.0008515,0.0008515,0.0008515
32,197.33,0.66197,0.82042,0.99665,0.62503,0.78567,0.73401,0.52944,0.70842,1.06757,1.07479,0.00084655,0.00084655,0.00084655
33,203.066,0.64447,0.80054,0.97002,0.63879,0.83959,0.78296,0.58587,0.68434,0.93281,1.06704,0.0008416,0.0008416,0.0008416
34,208.883,0.65917,0.75313,0.98251,0.59525,0.71908,0.70747,0.53213,0.69308,1.15928,1.08305,0.00083665,0.00083665,0.00083665
35,214.851,0.6197,0.76514,0.97714,0.55054,0.76622,0.74497,0.56138,0.69979,1.088,1.07278,0.0008317,0.0008317,0.0008317
36,220.559,0.62841,0.74736,0.97407,0.67795,0.78059,0.76208,0.55939,0.69773,1.03047,1.07918,0.00082675,0.00082675,0.00082675
37,227.012,0.61965,0.76785,0.96494,0.6221,0.82385,0.80233,0.60586,0.68742,1.02572,1.05196,0.0008218,0.0008218,0.0008218
38,232.892,0.62344,0.7322,0.96567,0.67403,0.79862,0.79019,0.59844,0.67373,0.96371,1.05395,0.00081685,0.00081685,0.00081685
39,238.57,0.62145,0.6717,0.95097,0.73567,0.66154,0.75778,0.5522,0.6768,1.08639,1.08051,0.0008119,0.0008119,0.0008119
40,244.658,0.62922,0.72423,0.97062,0.65505,0.73838,0.76449,0.58616,0.70385,0.97125,1.08435,0.00080695,0.00080695,0.00080695
41,250.644,0.60798,0.71104,0.96171,0.54637,0.73601,0.71144,0.54983,0.6867,1.10223,1.09037,0.000802,0.000802,0.000802
