epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1634,0.89299,9.25088,1.50996,0.0262,0.25949,0.02801,0.00924,1.62756,36.3201,2.93394,0.08236,0.00036,0.00036
2,20.5035,0.90508,5.8195,1.49425,0,0,0,0,nan,nan,nan,0.06374,0.000739955,0.000739955
3,29.15,0.86695,4.79459,1.48146,9e-05,0.07273,6e-05,2e-05,nan,nan,nan,0.0451197,0.00111973,0.00111973
4,39.1205,0.95611,4.71038,1.6206,0.00144,0.11243,0.00098,0.00023,2.68226,inf,22.864,0.0264992,0.00149918,0.00149918
5,48.0849,0.90395,4.17784,1.52411,0,0,0,0,0,1202.33,0,0.00787816,0.00187816,0.00187816
6,56.7902,0.93296,4.34735,1.55717,0.00016,0.04493,0.0001,5e-05,2.28764,inf,165.854,0.00199695,0.00199695,0.00199695
7,66.4176,0.88074,4.00961,1.48446,0.60314,0.06228,0.00348,0.00093,2.51928,inf,51.5238,0.00199561,0.00199561,0.00199561
8,75.0458,0.85678,3.9018,1.44005,0.67678,0.11139,0.07498,0.04473,1.51126,13.4453,2.64335,0.00199402,0.00199402,0.00199402
9,83.7276,0.83025,3.76625,1.44218,0.63468,0.16489,0.02991,0.01336,2.1715,11.3607,3.6709,0.00199219,0.00199219,0.00199219
10,91.9682,0.80524,3.62527,1.41607,0.74908,0.14742,0.13121,0.05265,2.26136,25.3039,3.98691,0.00199012,0.00199012,0.00199012
11,101.687,0.83731,3.67293,1.40779,0.7069,0.17074,0.16095,0.08509,1.40585,8.44413,2.68039,0.00198781,0.00198781,0.00198781
12,111.059,0.81958,3.46881,1.40276,0.54984,0.1378,0.08517,0.066,1.69988,8.39834,3.07608,0.00198526,0.00198526,0.00198526
13,119.399,0.81852,3.48775,1.40615,0.36436,0.09321,0.08265,0.05279,2.0614,9.78151,3.1884,0.00198246,0.00198246,0.00198246
14,127.636,0.79918,3.36687,1.35688,0.63751,0.50508,0.38058,0.2515,0.77087,4.79355,1.68009,0.00197943,0.00197943,0.00197943
15,137.466,0.75803,3.19992,1.29898,0.62562,0.48319,0.34862,0.24,0.69811,5.22783,1.53391,0.00197616,0.00197616,0.00197616
16,148.549,0.75162,3.20511,1.32313,0.54174,0.50085,0.28408,0.18397,0.69707,5.3297,1.52406,0.00197265,0.00197265,0.00197265
17,157.912,0.75713,3.21158,1.35219,0.6679,0.40989,0.36237,0.25984,0.67904,4.03123,1.51314,0.0019689,0.0019689,0.0019689
18,167.629,0.71267,3.21329,1.31467,0.31149,0.69713,0.42527,0.29121,0.70797,3.76873,1.51033,0.00196491,0.00196491,0.00196491
19,176.489,0.70817,3.13026,1.31185,0.22804,0.76322,0.4084,0.29476,0.65348,3.48754,1.47098,0.00196069,0.00196069,0.00196069
20,186.332,0.70691,3.03014,1.2684,0.41965,0.67702,0.38718,0.27771,0.65578,3.35619,1.51111,0.00195624,0.00195624,0.00195624
21,194.937,0.68607,2.97938,1.28667,0.64272,0.42368,0.39663,0.27798,0.67633,3.86353,1.48847,0.00195155,0.00195155,0.00195155
22,204.394,0.72015,2.98333,1.28538,0.20351,0.45554,0.23397,0.16841,0.7969,5.70079,1.6173,0.00194662,0.00194662,0.00194662
23,213.23,0.69169,2.95127,1.27817,0.26038,0.78154,0.45826,0.32808,0.64994,3.37626,1.37742,0.00194147,0.00194147,0.00194147
24,222.112,0.68959,2.99211,1.27888,0.32125,0.7087,0.48467,0.35108,0.60613,2.92998,1.3351,0.00193609,0.00193609,0.00193609
25,230.964,0.7063,2.98341,1.27368,0.44408,0.63783,0.41521,0.30554,0.63944,3.50187,1.3393,0.00193048,0.00193048,0.00193048
26,240.395,0.67016,2.80541,1.23808,0.57748,0.55653,0.45534,0.32742,0.60179,3.974,1.33951,0.00192464,0.00192464,0.00192464
27,248.683,0.67848,2.81882,1.24227,0.31226,0.67498,0.4831,0.35699,0.62544,3.08773,1.37141,0.00191858,0.00191858,0.00191858
28,257.38,0.66094,2.82722,1.24133,0.35391,0.63064,0.42019,0.31111,0.58456,4.66333,1.30913,0.00191229,0.00191229,0.00191229
29,266.795,0.6824,2.90598,1.2683,0.3488,0.67743,0.4229,0.31193,0.61984,3.60539,1.32551,0.00190578,0.00190578,0.00190578
30,275.084,0.68204,2.67401,1.21688,0.40938,0.58355,0.42692,0.30347,0.67675,4.68073,1.41699,0.00189905,0.00189905,0.00189905
31,283.363,0.68851,2.81681,1.25714,0.32932,0.67874,0.46441,0.34211,0.63673,3.38518,1.3661,0.0018921,0.0018921,0.0018921
32,291.75,0.71203,2.81996,1.27308,0.43456,0.73913,0.55464,0.39482,0.60904,2.88605,1.30983,0.00188493,0.00188493,0.00188493
33,301.505,0.66007,2.71717,1.21475,0.30553,0.67635,0.48705,0.34665,0.5758,3.29405,1.27693,0.00187754,0.00187754,0.00187754
34,309.635,0.6688,2.76127,1.25473,0.59709,0.56667,0.47921,0.3184,0.62761,4.39632,1.34723,0.00186995,0.00186995,0.00186995
35,317.663,0.67948,2.67929,1.23477,0.63046,0.53984,0.49458,0.37711,0.58123,3.84291,1.31627,0.00186213,0.00186213,0.00186213
36,326.268,0.67559,2.62877,1.23079,0.40262,0.60789,0.49954,0.36132,0.60244,3.05624,1.34395,0.00185411,0.00185411,0.00185411
37,335.456,0.65419,2.7057,1.21825,0.44961,0.68354,0.54081,0.36658,0.65202,2.87902,1.36677,0.00184588,0.00184588,0.00184588
38,343.811,0.62796,2.65791,1.20656,0.43415,0.5917,0.49047,0.34551,0.62294,3.62629,1.36506,0.00183745,0.00183745,0.00183745
39,351.788,0.63705,2.5677,1.2012,0.46495,0.60027,0.54062,0.38484,0.57878,4.33711,1.28315,0.00182881,0.00182881,0.00182881
40,360.256,0.62817,2.51065,1.1821,0.4352,0.6386,0.5124,0.37005,0.59192,3.05932,1.26145,0.00181997,0.00181997,0.00181997
41,369.531,0.6473,2.60243,1.19118,0.43356,0.75174,0.57181,0.42171,0.55932,2.55039,1.25637,0.00181093,0.00181093,0.00181093
42,377.792,0.6279,2.59435,1.20437,0.48289,0.78459,0.63541,0.46677,0.54376,2.35737,1.22909,0.00180169,0.00180169,0.00180169
43,386.229,0.64099,2.57194,1.19566,0.46852,0.7116,0.57749,0.41599,0.57623,3.17467,1.28841,0.00179225,0.00179225,0.00179225
44,394.931,0.62807,2.50538,1.19909,0.52101,0.70559,0.59821,0.40895,0.64207,2.63125,1.34203,0.00178263,0.00178263,0.00178263
45,404.304,0.63874,2.49297,1.17495,0.48171,0.72387,0.59571,0.43143,0.61854,2.57799,1.32447,0.00177281,0.00177281,0.00177281
46,412.396,0.61707,2.44785,1.19446,0.57584,0.83942,0.67141,0.45465,0.56879,2.37771,1.23994,0.0017628,0.0017628,0.0017628
47,420.471,0.63814,2.43438,1.17575,0.6438,0.55111,0.55801,0.39678,0.63596,2.82013,1.32589,0.00175261,0.00175261,0.00175261
48,429,0.63174,2.5216,1.19889,0.36582,0.79734,0.59673,0.41177,0.60157,2.42804,1.27373,0.00174223,0.00174223,0.00174223
49,438.309,0.61204,2.36472,1.15619,0.42472,0.80448,0.58805,0.41929,0.55931,2.65205,1.24806,0.00173168,0.00173168,0.00173168
50,446.442,0.64233,2.48962,1.20789,0.50321,0.80317,0.61076,0.44676,0.54289,2.46782,1.21416,0.00172095,0.00172095,0.00172095
51,454.709,0.59083,2.37334,1.17324,0.48201,0.75342,0.55666,0.39722,0.6043,2.6056,1.24884,0.00171004,0.00171004,0.00171004
52,463.209,0.60007,2.30654,1.14288,0.45995,0.67697,0.60667,0.43577,0.58585,2.76939,1.23002,0.00169895,0.00169895,0.00169895
53,472.657,0.61518,2.39155,1.15709,0.48076,0.82394,0.65171,0.46182,0.54857,2.42717,1.22237,0.0016877,0.0016877,0.0016877
54,480.618,0.59511,2.27946,1.15047,0.43753,0.83568,0.58283,0.42496,0.57378,2.49828,1.2257,0.00167628,0.00167628,0.00167628
55,488.8,0.59537,2.27598,1.14346,0.5928,0.62875,0.61149,0.43889,0.53472,2.50841,1.20172,0.0016647,0.0016647,0.0016647
56,496.986,0.5921,2.37053,1.15606,0.49574,0.73545,0.60978,0.43483,0.53616,2.56523,1.21589,0.00165295,0.00165295,0.00165295
57,506.438,0.60046,2.22404,1.15157,0.47564,0.82009,0.6458,0.47514,0.52466,2.34149,1.20115,0.00164105,0.00164105,0.00164105
58,514.795,0.59747,2.26261,1.14956,0.63248,0.6596,0.66141,0.48105,0.54785,2.37157,1.21119,0.00162899,0.00162899,0.00162899
59,523.044,0.5808,2.19932,1.13681,0.47836,0.79428,0.66413,0.48541,0.56086,2.36164,1.21797,0.00161678,0.00161678,0.00161678
60,531.763,0.57971,2.28193,1.16587,0.59695,0.69681,0.64672,0.4442,0.5416,2.58608,1.17083,0.00160442,0.00160442,0.00160442
61,541.007,0.59386,2.31508,1.14736,0.57286,0.55816,0.48838,0.37342,0.57715,3.95532,1.24436,0.00159191,0.00159191,0.00159191
62,549.239,0.57848,2.26684,1.16495,0.54939,0.78051,0.66714,0.46505,0.53317,2.40197,1.18915,0.00157926,0.00157926,0.00157926
63,557.581,0.58811,2.23474,1.13985,0.53224,0.72591,0.67249,0.48758,0.54022,2.28927,1.1809,0.00156646,0.00156646,0.00156646
64,567.68,0.59996,2.22412,1.15017,0.54851,0.72071,0.65229,0.46304,0.60144,2.40702,1.22635,0.00155353,0.00155353,0.00155353
65,576,0.60981,2.27985,1.16729,0.52406,0.82174,0.60248,0.42264,0.60107,2.38633,1.23007,0.00154047,0.00154047,0.00154047
66,584.031,0.592,2.2617,1.16505,0.49468,0.82617,0.66772,0.49939,0.53096,2.24429,1.18338,0.00152727,0.00152727,0.00152727
67,592.28,0.58324,2.16025,1.13434,0.52129,0.83438,0.67183,0.46906,0.53954,2.64462,1.18379,0.00151395,0.00151395,0.00151395
68,601.82,0.60688,2.24819,1.15975,0.65529,0.72499,0.71598,0.47621,0.556,2.20442,1.17454,0.0015005,0.0015005,0.0015005
69,610.224,0.56564,2.19681,1.14782,0.48682,0.85308,0.64416,0.44871,0.5314,2.49677,1.18393,0.00148694,0.00148694,0.00148694
70,618.379,0.58299,2.15625,1.1636,0.51963,0.79508,0.60782,0.43663,0.54179,2.37962,1.18612,0.00147325,0.00147325,0.00147325
71,626.651,0.58974,2.1882,1.15414,0.62801,0.83356,0.74166,0.52015,0.49987,2.46858,1.12968,0.00145945,0.00145945,0.00145945
72,636.829,0.56204,2.22954,1.12276,0.50173,0.83626,0.67547,0.46732,0.53308,2.59539,1.18328,0.00144554,0.00144554,0.00144554
73,645.235,0.57491,2.18089,1.15028,0.5219,0.79251,0.6903,0.49845,0.5329,2.262,1.19088,0.00143152,0.00143152,0.00143152
74,653.496,0.57102,2.17144,1.14815,0.42208,0.77158,0.60718,0.46279,0.52102,2.6266,1.18493,0.0014174,0.0014174,0.0014174
75,661.61,0.58062,2.22812,1.1585,0.60043,0.65395,0.66494,0.49013,0.54321,2.29041,1.18992,0.00140318,0.00140318,0.00140318
76,671.451,0.56317,2.13646,1.15209,0.59512,0.75897,0.71226,0.52766,0.51396,2.1196,1.15288,0.00138886,0.00138886,0.00138886
77,680.117,0.55732,2.0369,1.10357,0.50916,0.70994,0.65668,0.48133,0.54785,2.48728,1.18781,0.00137444,0.00137444,0.00137444
78,688.198,0.56241,2.13666,1.12305,0.59112,0.75678,0.73487,0.52648,0.54987,2.14272,1.17393,0.00135994,0.00135994,0.00135994
79,696.878,0.56776,2.08944,1.14711,0.57209,0.76911,0.70481,0.51236,0.53023,2.21457,1.15519,0.00134535,0.00134535,0.00134535
80,706.672,0.54598,2.03066,1.08843,0.53334,0.80673,0.72787,0.5339,0.50383,2.09328,1.13551,0.00133068,0.00133068,0.00133068
81,715.141,0.5583,2.03211,1.11146,0.58179,0.81297,0.68761,0.51278,0.49758,2.20813,1.1157,0.00131593,0.00131593,0.00131593
82,723.114,0.56257,2.03118,1.12168,0.54222,0.776,0.68443,0.51162,0.49854,2.06536,1.10465,0.0013011,0.0013011,0.0013011
83,731.399,0.53902,1.96482,1.10904,0.64009,0.73238,0.73076,0.51885,0.50846,2.15992,1.12646,0.0012862,0.0012862,0.0012862
84,740.982,0.55363,2.00969,1.09485,0.53327,0.82411,0.67202,0.46701,0.52119,2.36033,1.15596,0.00127123,0.00127123,0.00127123
85,749.095,0.53573,2.03724,1.09879,0.55201,0.81,0.69816,0.48345,0.51825,2.27738,1.16104,0.0012562,0.0012562,0.0012562
86,757.446,0.5342,2.00681,1.11699,0.68412,0.82862,0.75857,0.54525,0.49416,1.95181,1.14406,0.00124111,0.00124111,0.00124111
87,766.371,0.54082,1.95022,1.08933,0.60963,0.84941,0.723,0.53203,0.48151,2.00928,1.11257,0.00122596,0.00122596,0.00122596
88,776.114,0.55079,1.95734,1.10144,0.61248,0.84532,0.72124,0.52334,0.48131,2.06443,1.1041,0.00121076,0.00121076,0.00121076
89,784.355,0.535,1.9565,1.09753,0.63039,0.83214,0.72499,0.52261,0.49583,2.08638,1.12317,0.00119551,0.00119551,0.00119551
90,792.492,0.55676,1.97086,1.11321,0.55218,0.85104,0.68638,0.5096,0.50499,2.21816,1.16257,0.00118021,0.00118021,0.00118021
91,802.141,0.54773,1.9119,1.09733,0.54237,0.8178,0.66978,0.4839,0.51598,2.21993,1.11747,0.00116487,0.00116487,0.00116487
92,811.053,0.54748,1.88519,1.10145,0.54458,0.7755,0.715,0.51917,0.52754,2.17173,1.1272,0.00114949,0.00114949,0.00114949
93,819.429,0.56475,1.94003,1.09767,0.60928,0.71894,0.70057,0.50253,0.56208,2.26173,1.18067,0.00113408,0.00113408,0.00113408
94,827.703,0.53929,1.92152,1.07506,0.53886,0.76487,0.65709,0.47804,0.51169,2.25396,1.15586,0.00111864,0.00111864,0.00111864
95,837.717,0.54807,1.90745,1.08693,0.58527,0.73942,0.66348,0.47226,0.5341,2.24357,1.16051,0.00110317,0.00110317,0.00110317
96,846.23,0.52423,1.87628,1.07751,0.67845,0.68546,0.72169,0.53144,0.48539,2.12098,1.11036,0.00108767,0.00108767,0.00108767
97,854.412,0.52464,1.87178,1.06547,0.65207,0.82113,0.76746,0.56411,0.49114,1.97772,1.11538,0.00107216,0.00107216,0.00107216
98,862.999,0.51503,1.80353,1.10067,0.59776,0.86271,0.74091,0.54684,0.50396,2.04692,1.12977,0.00105664,0.00105664,0.00105664
99,872.534,0.51483,1.84408,1.06665,0.6142,0.79344,0.76578,0.56688,0.52027,2.01864,1.13782,0.0010411,0.0010411,0.0010411
100,881.337,0.52406,1.85683,1.06226,0.6984,0.73326,0.77865,0.57427,0.49078,1.99336,1.11057,0.00102555,0.00102555,0.00102555
101,889.61,0.50143,1.84212,1.06058,0.58688,0.76288,0.73273,0.53555,0.49943,2.24549,1.14173,0.00101,0.00101,0.00101
102,897.836,0.50052,1.85632,1.08572,0.63195,0.78388,0.73963,0.54879,0.47772,2.15329,1.13179,0.00099445,0.00099445,0.00099445
103,907.424,0.52484,1.85893,1.075,0.66203,0.65485,0.70975,0.52048,0.48373,2.19771,1.12249,0.000978903,0.000978903,0.000978903
104,915.855,0.5157,1.83372,1.07372,0.60866,0.67542,0.67459,0.53538,0.47378,2.26857,1.14044,0.000963365,0.000963365,0.000963365
105,924.016,0.50965,1.68998,1.06529,0.64552,0.75282,0.73319,0.54291,0.46664,1.89559,1.11872,0.000947837,0.000947837,0.000947837
106,932.776,0.53781,1.79793,1.09536,0.66009,0.74665,0.77613,0.59702,0.46962,1.84998,1.11265,0.000932325,0.000932325,0.000932325
107,942.614,0.51368,1.72955,1.0692,0.65914,0.76314,0.78159,0.59716,0.46547,1.8909,1.10733,0.000916833,0.000916833,0.000916833
108,951.041,0.51756,1.70134,1.06054,0.64997,0.80949,0.73325,0.55279,0.46613,1.95775,1.10077,0.000901363,0.000901363,0.000901363
109,959.138,0.50284,1.73504,1.06598,0.70157,0.77247,0.7719,0.59451,0.45953,2.01549,1.09361,0.00088592,0.00088592,0.00088592
110,968.983,0.49194,1.79623,1.04235,0.60272,0.7483,0.74172,0.56208,0.46577,2.06829,1.10373,0.000870508,0.000870508,0.000870508
111,977.388,0.49118,1.73022,1.03518,0.6609,0.80078,0.78631,0.58203,0.48102,1.89586,1.12362,0.00085513,0.00085513,0.00085513
112,985.9,0.50374,1.76599,1.09634,0.66244,0.84107,0.81182,0.59498,0.46689,1.98494,1.10307,0.00083979,0.00083979,0.00083979
113,994.276,0.48565,1.70343,1.03678,0.68847,0.81345,0.80557,0.59463,0.47884,1.98925,1.11905,0.000824492,0.000824492,0.000824492
114,1003.81,0.50935,1.70354,1.06718,0.75544,0.76237,0.80108,0.58795,0.48469,1.87799,1.1309,0.000809241,0.000809241,0.000809241
115,1011.89,0.52003,1.75537,1.0971,0.74625,0.78612,0.81,0.60027,0.4893,1.86449,1.14771,0.000794038,0.000794038,0.000794038
116,1021.09,0.4815,1.64114,1.05922,0.71804,0.75432,0.80816,0.59571,0.47899,1.92845,1.13706,0.000778889,0.000778889,0.000778889
117,1029.46,0.49247,1.64006,1.0514,0.69052,0.75617,0.79037,0.58931,0.47237,1.90774,1.13462,0.000763797,0.000763797,0.000763797
118,1039,0.4923,1.68379,1.07273,0.65346,0.79113,0.78769,0.5885,0.48145,1.90154,1.12,0.000748766,0.000748766,0.000748766
119,1047.15,0.51038,1.71737,1.08045,0.71295,0.77834,0.78749,0.59303,0.43907,1.84731,1.08185,0.000733799,0.000733799,0.000733799
120,1055.46,0.50734,1.65269,1.06128,0.64407,0.80799,0.74591,0.56606,0.46813,1.96234,1.10637,0.0007189,0.0007189,0.0007189
121,1064.1,0.47774,1.67132,1.04478,0.66528,0.82162,0.74947,0.5737,0.45985,1.9926,1.0919,0.000704073,0.000704073,0.000704073
122,1073.53,0.50356,1.79196,1.07523,0.62155,0.81488,0.76192,0.57069,0.43539,1.98318,1.07494,0.000689322,0.000689322,0.000689322
123,1081.67,0.4757,1.66832,1.04213,0.62215,0.7248,0.75474,0.5772,0.47095,2.10401,1.09615,0.000674649,0.000674649,0.000674649
124,1090.07,0.50671,1.70858,1.08043,0.71631,0.69706,0.73985,0.56569,0.44811,1.92144,1.09131,0.00066006,0.00066006,0.00066006
125,1098.32,0.47488,1.64497,1.04706,0.70645,0.73501,0.7528,0.58029,0.45124,1.94998,1.0949,0.000645557,0.000645557,0.000645557
126,1107.84,0.50158,1.62044,1.04921,0.61694,0.84677,0.76349,0.58605,0.47866,1.87756,1.09689,0.000631143,0.000631143,0.000631143
127,1116.18,0.49805,1.66411,1.0697,0.74696,0.70947,0.79052,0.61474,0.45491,1.77439,1.09143,0.000616824,0.000616824,0.000616824
128,1125.32,0.4734,1.55953,1.0435,0.65566,0.7669,0.76637,0.58862,0.46884,1.84885,1.10378,0.000602601,0.000602601,0.000602601
129,1133.78,0.45705,1.48762,1.02464,0.73058,0.78156,0.79737,0.6054,0.46627,1.78955,1.1013,0.000588479,0.000588479,0.000588479
130,1143.61,0.48676,1.55163,1.03549,0.6507,0.86131,0.78999,0.60201,0.44118,1.76454,1.08591,0.00057446,0.00057446,0.00057446
131,1151.77,0.4489,1.48479,1.02034,0.70644,0.80933,0.77446,0.59946,0.43722,1.77285,1.08454,0.000560549,0.000560549,0.000560549
132,1160.48,0.47457,1.57136,1.05668,0.68768,0.80502,0.77101,0.60453,0.43775,1.85797,1.0822,0.000546749,0.000546749,0.000546749
133,1170.22,0.47243,1.56753,1.03474,0.71174,0.7554,0.78364,0.59988,0.45076,1.80613,1.08962,0.000533064,0.000533064,0.000533064
134,1178.3,0.4483,1.40406,1.01844,0.78477,0.76652,0.8055,0.61835,0.45671,1.75479,1.08832,0.000519496,0.000519496,0.000519496
135,1186.61,0.46016,1.51373,1.02575,0.69868,0.79556,0.81423,0.6295,0.45956,1.70552,1.08544,0.000506049,0.000506049,0.000506049
136,1195.35,0.4723,1.47935,1.04168,0.72759,0.75289,0.80511,0.61963,0.46006,1.84973,1.09285,0.000492726,0.000492726,0.000492726
137,1205.04,0.45169,1.39446,1.00997,0.73375,0.78725,0.79691,0.60379,0.46369,1.87951,1.1004,0.000479531,0.000479531,0.000479531
138,1212.98,0.44865,1.42886,1.00675,0.72736,0.75588,0.79242,0.59323,0.45681,1.82345,1.09392,0.000466467,0.000466467,0.000466467
139,1221.11,0.4633,1.52184,1.05267,0.71635,0.74313,0.7903,0.59931,0.46417,1.86057,1.09076,0.000453537,0.000453537,0.000453537
140,1229.53,0.47579,1.48859,1.05075,0.67768,0.77698,0.77891,0.59481,0.46212,1.89951,1.09226,0.000440745,0.000440745,0.000440745
141,1239.08,0.44742,1.43639,1.0042,0.71193,0.74712,0.7862,0.594,0.46003,1.82333,1.08663,0.000428093,0.000428093,0.000428093
142,1247.03,0.45075,1.45675,1.03581,0.77163,0.77206,0.79434,0.59939,0.4846,1.8501,1.09312,0.000415584,0.000415584,0.000415584
143,1255.51,0.45554,1.44761,1.01458,0.77175,0.71503,0.79987,0.60797,0.45506,1.81235,1.08625,0.000403222,0.000403222,0.000403222
144,1264.24,0.45119,1.41831,1.01169,0.64184,0.81918,0.8126,0.60839,0.47498,1.84149,1.10192,0.00039101,0.00039101,0.00039101
145,1273.62,0.47341,1.50491,1.03804,0.69015,0.8209,0.82008,0.62463,0.46517,1.7549,1.09775,0.00037895,0.00037895,0.00037895
146,1281.35,0.44786,1.42675,1.01618,0.76766,0.79309,0.81085,0.61665,0.4509,1.78819,1.09234,0.000367046,0.000367046,0.000367046
147,1289.89,0.44524,1.34384,1.00881,0.63832,0.8468,0.80512,0.62258,0.46118,1.8093,1.09833,0.000355301,0.000355301,0.000355301
148,1298.71,0.44573,1.39745,1.02065,0.82096,0.73462,0.80397,0.62011,0.45683,1.74149,1.09866,0.000343718,0.000343718,0.000343718
149,1307.98,0.44736,1.34373,1.01322,0.76004,0.78528,0.78237,0.58803,0.45321,1.76114,1.09426,0.000332298,0.000332298,0.000332298
150,1315.76,0.46417,1.4198,1.0258,0.74313,0.77372,0.78582,0.60833,0.43529,1.87742,1.07358,0.000321046,0.000321046,0.000321046
151,1324.38,0.43216,1.34893,1.02299,0.78949,0.73774,0.81529,0.6196,0.45232,1.80291,1.07909,0.000309964,0.000309964,0.000309964
152,1333.36,0.44089,1.3404,1.01346,0.71712,0.77349,0.80075,0.60415,0.46547,1.85589,1.07795,0.000299055,0.000299055,0.000299055
153,1342.26,0.45658,1.37053,1.02332,0.64501,0.79261,0.79055,0.59842,0.45919,1.89604,1.07465,0.000288321,0.000288321,0.000288321
154,1350.26,0.44247,1.34073,1.02413,0.67401,0.80213,0.78894,0.59126,0.44553,1.91848,1.06922,0.000277765,0.000277765,0.000277765
155,1358.78,0.41252,1.29541,0.97343,0.70905,0.72443,0.78391,0.60186,0.44803,1.95902,1.07344,0.00026739,0.00026739,0.00026739
156,1368.29,0.45576,1.3445,1.03416,0.71518,0.73229,0.80027,0.61528,0.44182,1.81996,1.06054,0.000257198,0.000257198,0.000257198
157,1376.26,0.43653,1.32473,0.99785,0.68782,0.82834,0.80962,0.61947,0.43355,1.78728,1.06008,0.000247192,0.000247192,0.000247192
158,1384.69,0.44098,1.2717,1.0035,0.65768,0.84362,0.80802,0.61555,0.44194,1.87047,1.07213,0.000237374,0.000237374,0.000237374
159,1393.15,0.44896,1.31072,1.0303,0.70963,0.76717,0.80449,0.61301,0.44583,1.78924,1.07025,0.000227747,0.000227747,0.000227747
160,1402.43,0.45798,1.3731,1.02733,0.71219,0.74593,0.79991,0.60921,0.44296,1.91139,1.07759,0.000218312,0.000218312,0.000218312
161,1409.96,0.42913,1.31898,1.00509,0.74232,0.73328,0.79435,0.59494,0.44438,2.02488,1.08025,0.000209073,0.000209073,0.000209073
162,1418.63,0.41735,1.26716,0.99053,0.7873,0.73117,0.81446,0.62488,0.44389,1.74698,1.06801,0.000200032,0.000200032,0.000200032
163,1427.14,0.42021,1.22873,0.99699,0.70725,0.81234,0.82257,0.63753,0.43922,1.75053,1.06939,0.00019119,0.00019119,0.00019119
