epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.321,0.98168,5.16078,1.36352,0.4763,0.15429,0.12301,0.0804,0.98668,4.91339,1.64508,0.0804534,0.00039891,0.00039891
2,336.952,0.9501,4.15817,1.35187,0.52569,0.15299,0.11147,0.07019,0.95384,5.41202,1.61962,0.0608534,0.000798861,0.000798861
3,489.981,0.94954,4.01314,1.36057,0.66652,0.15631,0.18163,0.11868,0.90537,4.23618,1.54091,0.0412531,0.00119862,0.00119862
4,641.332,0.90393,3.74703,1.32759,0.66212,0.20564,0.22062,0.13408,0.91966,3.79089,1.54765,0.0216525,0.00159803,0.00159803
5,798.855,0.86335,3.45442,1.28984,0.50136,0.32389,0.29148,0.17585,0.85509,3.46634,1.46052,0.00205145,0.00199696,0.00199696
6,948.417,0.85159,3.35666,1.27687,0.57304,0.33777,0.32827,0.21233,0.80858,3.1432,1.42372,0.00199695,0.00199695,0.00199695
7,1097.81,0.81593,3.1569,1.23764,0.46771,0.38349,0.3395,0.22902,0.78552,3.08519,1.37405,0.00199561,0.00199561,0.00199561
8,1248.95,0.7909,3.00854,1.22748,0.69511,0.29186,0.37271,0.25307,0.73969,2.85496,1.34951,0.00199402,0.00199402,0.00199402
9,1400.15,0.78369,2.8956,1.2138,0.55815,0.37076,0.40202,0.27658,0.74848,2.73106,1.3376,0.00199219,0.00199219,0.00199219
10,1547.56,0.78047,2.82837,1.20228,0.6545,0.35958,0.41215,0.28519,0.74622,2.79837,1.33639,0.00199012,0.00199012,0.00199012
11,1696.23,0.76787,2.78157,1.20444,0.52045,0.401,0.43353,0.29833,0.73399,2.62455,1.30684,0.00198781,0.00198781,0.00198781
12,1845.22,0.7505,2.70402,1.18306,0.54852,0.49687,0.45824,0.31394,0.70639,2.48673,1.29439,0.00198526,0.00198526,0.00198526
13,1999.78,0.75353,2.59023,1.17897,0.47603,0.50217,0.47015,0.32588,0.72166,2.38489,1.30955,0.00198246,0.00198246,0.00198246
14,2150.46,0.74161,2.53547,1.1699,0.45462,0.53669,0.49307,0.34639,0.72575,2.32505,1.31041,0.00197943,0.00197943,0.00197943
15,2301.07,0.72757,2.47629,1.16292,0.55125,0.54511,0.51744,0.35574,0.70959,2.29127,1.28599,0.00197616,0.00197616,0.00197616
16,2452,0.71601,2.38131,1.15003,0.54586,0.52598,0.53789,0.38136,0.69342,2.28993,1.28082,0.00197265,0.00197265,0.00197265
17,2602.71,0.71787,2.36575,1.14435,0.65415,0.48873,0.55397,0.38491,0.69597,2.34679,1.28244,0.0019689,0.0019689,0.0019689
18,2751.2,0.72315,2.38512,1.1511,0.49024,0.55086,0.54868,0.38425,0.68587,2.31268,1.29071,0.00196491,0.00196491,0.00196491
19,2902.35,0.70673,2.27521,1.14925,0.59492,0.52907,0.56726,0.39508,0.69171,2.19243,1.28186,0.00196069,0.00196069,0.00196069
20,3061.91,0.70601,2.26069,1.13691,0.56692,0.5795,0.59218,0.41741,0.69032,2.16524,1.27728,0.00195624,0.00195624,0.00195624
21,3241.37,0.70289,2.25765,1.14082,0.62021,0.58769,0.58681,0.41276,0.67239,2.10894,1.25572,0.00195155,0.00195155,0.00195155
22,3391.12,0.6972,2.25562,1.13505,0.62628,0.58438,0.62228,0.44048,0.67917,2.05192,1.27164,0.00194662,0.00194662,0.00194662
23,3540.3,0.6944,2.18123,1.1357,0.67271,0.57563,0.61726,0.4386,0.68531,1.98836,1.2745,0.00194147,0.00194147,0.00194147
24,3688.78,0.68481,2.15151,1.12592,0.68689,0.59671,0.65702,0.47074,0.66677,1.94402,1.27265,0.00193609,0.00193609,0.00193609
25,3836.86,0.68201,2.10748,1.12267,0.67996,0.59995,0.6572,0.46713,0.66837,1.90845,1.26295,0.00193048,0.00193048,0.00193048
26,3985.51,0.68286,2.08005,1.11566,0.57151,0.67247,0.66053,0.47567,0.67252,1.96511,1.25252,0.00192464,0.00192464,0.00192464
27,4134.75,0.67462,2.04185,1.10947,0.63393,0.59891,0.62179,0.4487,0.6551,1.95131,1.24734,0.00191858,0.00191858,0.00191858
28,4283.43,0.67319,2.02114,1.1138,0.6822,0.61191,0.67424,0.48134,0.66346,1.8712,1.24313,0.00191229,0.00191229,0.00191229
29,4432.59,0.67024,2.02168,1.11025,0.59141,0.64107,0.66264,0.48533,0.66027,1.872,1.24118,0.00190578,0.00190578,0.00190578
30,4580.93,0.66383,1.95656,1.10029,0.64369,0.64771,0.68704,0.50244,0.64162,1.84582,1.22721,0.00189905,0.00189905,0.00189905
31,4729.52,0.66663,1.97104,1.1097,0.68196,0.65573,0.6948,0.50591,0.6464,1.7587,1.23032,0.0018921,0.0018921,0.0018921
32,4877.72,0.6632,1.98417,1.09687,0.66453,0.67355,0.69022,0.50263,0.64468,1.79847,1.22488,0.00188493,0.00188493,0.00188493
33,5025.97,0.66789,1.95783,1.10702,0.75027,0.62039,0.68874,0.50352,0.64294,1.75436,1.21923,0.00187754,0.00187754,0.00187754
34,5174.73,0.65483,1.88079,1.09548,0.69815,0.67463,0.72203,0.52085,0.65358,1.70658,1.24595,0.00186995,0.00186995,0.00186995
35,5323.49,0.65937,1.89249,1.09836,0.74554,0.66345,0.73636,0.52021,0.64349,1.70447,1.22725,0.00186213,0.00186213,0.00186213
36,5472.1,0.6545,1.87057,1.09074,0.67767,0.69405,0.73685,0.5304,0.63877,1.68419,1.22738,0.00185411,0.00185411,0.00185411
37,5621.31,0.65202,1.84873,1.0893,0.72865,0.67747,0.7351,0.5274,0.64141,1.68698,1.21946,0.00184588,0.00184588,0.00184588
38,5769.28,0.65086,1.81726,1.08612,0.74216,0.67636,0.74288,0.53705,0.63178,1.61177,1.21066,0.00183745,0.00183745,0.00183745
39,5918.4,0.64574,1.79263,1.07927,0.69958,0.69297,0.74615,0.54171,0.64104,1.62125,1.21745,0.00182881,0.00182881,0.00182881
40,6066.83,0.64502,1.7822,1.08542,0.68554,0.71375,0.74659,0.54858,0.63151,1.62477,1.20842,0.00181997,0.00181997,0.00181997
41,6215.7,0.64088,1.76754,1.07766,0.71867,0.69885,0.7375,0.53742,0.62769,1.57229,1.20394,0.00181093,0.00181093,0.00181093
42,6362.91,0.64029,1.7617,1.08103,0.76024,0.71441,0.77016,0.56176,0.62258,1.52803,1.20005,0.00180169,0.00180169,0.00180169
43,6513.67,0.6405,1.74435,1.07376,0.77434,0.70284,0.77332,0.56165,0.62537,1.53611,1.19295,0.00179225,0.00179225,0.00179225
44,6662.7,0.63962,1.7286,1.08108,0.75457,0.7144,0.76431,0.55813,0.62681,1.52734,1.19708,0.00178263,0.00178263,0.00178263
45,6813.39,0.63334,1.69565,1.07371,0.76002,0.72713,0.77611,0.56113,0.62449,1.51408,1.20017,0.00177281,0.00177281,0.00177281
46,6960.39,0.63215,1.68612,1.07611,0.77384,0.68748,0.75594,0.55342,0.62331,1.51543,1.1989,0.0017628,0.0017628,0.0017628
47,7110.42,0.62473,1.68541,1.0662,0.78174,0.70481,0.77213,0.56943,0.61547,1.48148,1.18638,0.00175261,0.00175261,0.00175261
48,7260.85,0.62772,1.66125,1.06964,0.73516,0.71794,0.75733,0.54997,0.6202,1.49514,1.19429,0.00174223,0.00174223,0.00174223
49,7410.21,0.62648,1.63942,1.0643,0.75888,0.7407,0.79281,0.5843,0.609,1.43314,1.18202,0.00173168,0.00173168,0.00173168
50,7559.48,0.63144,1.66541,1.07011,0.7956,0.72851,0.78337,0.57527,0.60506,1.42523,1.18097,0.00172095,0.00172095,0.00172095
51,7712.26,0.6235,1.63672,1.06256,0.77766,0.75639,0.79274,0.57781,0.61476,1.44366,1.19659,0.00171004,0.00171004,0.00171004
52,7862.49,0.62214,1.61805,1.0593,0.7492,0.74645,0.79032,0.58486,0.60274,1.40642,1.18297,0.00169895,0.00169895,0.00169895
53,8011.35,0.61938,1.57984,1.06078,0.77022,0.74845,0.78913,0.58429,0.61471,1.40343,1.18839,0.0016877,0.0016877,0.0016877
54,8160.28,0.61791,1.57872,1.05367,0.78729,0.75537,0.81102,0.59458,0.6095,1.38942,1.17725,0.00167628,0.00167628,0.00167628
55,8308.36,0.6181,1.58352,1.06098,0.77588,0.75855,0.81198,0.59487,0.60709,1.38101,1.18021,0.0016647,0.0016647,0.0016647
56,8456.4,0.61105,1.56584,1.05363,0.76451,0.77269,0.81655,0.59588,0.60574,1.40028,1.17341,0.00165295,0.00165295,0.00165295
57,8605.65,0.60774,1.57115,1.05531,0.80617,0.7618,0.8211,0.59563,0.60961,1.36625,1.18211,0.00164105,0.00164105,0.00164105
58,8753.11,0.61167,1.56379,1.05417,0.80414,0.77869,0.83223,0.61175,0.60639,1.32454,1.18084,0.00162899,0.00162899,0.00162899
59,8900.88,0.61126,1.53773,1.05144,0.77363,0.78327,0.80807,0.59703,0.60217,1.35887,1.17216,0.00161678,0.00161678,0.00161678
60,9049.29,0.60569,1.53754,1.04964,0.82323,0.7614,0.82022,0.60332,0.60277,1.30073,1.16902,0.00160442,0.00160442,0.00160442
61,9196.5,0.60835,1.52341,1.04985,0.82095,0.76224,0.81794,0.60231,0.59553,1.30418,1.16238,0.00159191,0.00159191,0.00159191
62,9344.22,0.60153,1.47701,1.04036,0.77161,0.7767,0.81753,0.60557,0.60139,1.3164,1.1743,0.00157926,0.00157926,0.00157926
63,9493.91,0.5993,1.50382,1.04598,0.82338,0.76526,0.82393,0.60955,0.59665,1.28951,1.15991,0.00156646,0.00156646,0.00156646
64,9641.2,0.59914,1.46803,1.04287,0.81069,0.77651,0.82797,0.61778,0.5921,1.2756,1.15325,0.00155353,0.00155353,0.00155353
65,9789.83,0.59731,1.47542,1.0454,0.80791,0.78454,0.83155,0.61843,0.59162,1.25591,1.15178,0.00154047,0.00154047,0.00154047
66,9938.5,0.597,1.4632,1.03842,0.79191,0.81364,0.83428,0.6174,0.59203,1.23518,1.1548,0.00152727,0.00152727,0.00152727
67,10085.3,0.59665,1.45071,1.03994,0.81773,0.7842,0.8337,0.61924,0.59125,1.24404,1.15704,0.00151395,0.00151395,0.00151395
68,10232.3,0.59672,1.43562,1.03791,0.8171,0.79077,0.83402,0.62253,0.59248,1.24939,1.15542,0.0015005,0.0015005,0.0015005
69,10380.9,0.5967,1.42231,1.03566,0.82168,0.78508,0.84305,0.62413,0.58694,1.23933,1.15112,0.00148694,0.00148694,0.00148694
70,10529.8,0.5914,1.39405,1.03029,0.78854,0.79877,0.83042,0.62333,0.58527,1.24837,1.14607,0.00147325,0.00147325,0.00147325
71,10676.8,0.59551,1.41851,1.03981,0.81732,0.80243,0.84766,0.62951,0.58626,1.22537,1.14964,0.00145945,0.00145945,0.00145945
