epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3213,1.85803,1.73136,1.48818,0.77396,0.7299,0.7815,0.37659,1.88386,1.65139,1.6611,0.0675593,0.000327684,0.000327684
2,34.5491,1.66968,1.08353,1.38716,0.51223,0.61915,0.53209,0.18921,2.24451,1.3751,2.03917,0.0345528,0.000654473,0.000654473
3,50.3686,1.66159,1.00486,1.38492,0.72823,0.67394,0.76842,0.40833,1.71809,0.98235,1.60858,0.00153963,0.000974662,0.000974662
4,66.2839,1.62671,0.97683,1.37645,0.71694,0.83798,0.84356,0.48122,1.65402,1.09108,1.50621,0.0009703,0.0009703,0.0009703
5,81.1834,1.58859,0.92324,1.35358,0.69841,0.78164,0.79863,0.40294,1.83116,1.07897,1.6049,0.0009604,0.0009604,0.0009604
6,95.3793,1.59473,0.88024,1.36285,0.79453,0.86836,0.89869,0.56523,1.42308,0.77225,1.32829,0.0009505,0.0009505,0.0009505
7,110.268,1.5704,0.85058,1.33207,0.88426,0.83481,0.8816,0.54547,1.50713,0.76759,1.39292,0.0009406,0.0009406,0.0009406
8,124.981,1.54434,0.80808,1.33374,0.84663,0.84042,0.873,0.51016,1.49888,0.80351,1.41443,0.0009307,0.0009307,0.0009307
9,139.806,1.54598,0.82458,1.33137,0.77344,0.91878,0.88872,0.56123,1.4118,0.73431,1.31305,0.0009208,0.0009208,0.0009208
10,154.839,1.51416,0.80213,1.3282,0.93738,0.8395,0.88863,0.56138,1.48574,0.74005,1.37253,0.0009109,0.0009109,0.0009109
11,169.723,1.53095,0.78748,1.32934,0.87897,0.89901,0.92336,0.57352,1.44897,0.72911,1.34059,0.000901,0.000901,0.000901
12,185.396,1.53357,0.79272,1.32625,0.81438,0.87724,0.90379,0.53935,1.51836,0.77119,1.40967,0.0008911,0.0008911,0.0008911
13,199.994,1.50782,0.75451,1.31062,0.8959,0.87826,0.90224,0.59363,1.37823,0.65954,1.33722,0.0008812,0.0008812,0.0008812
14,214.547,1.49814,0.77183,1.31374,0.88321,0.85811,0.89781,0.55721,1.45263,0.71398,1.34779,0.0008713,0.0008713,0.0008713
15,229.28,1.49133,0.74254,1.30702,0.92017,0.87134,0.91682,0.53714,1.5145,0.72921,1.38403,0.0008614,0.0008614,0.0008614
16,244.441,1.48484,0.73361,1.29847,0.90294,0.87071,0.91623,0.60448,1.391,0.64603,1.27321,0.0008515,0.0008515,0.0008515
17,259.393,1.46579,0.72881,1.29096,0.88829,0.88536,0.90197,0.56446,1.45168,0.69503,1.38597,0.0008416,0.0008416,0.0008416
18,275.148,1.47079,0.72054,1.28826,0.92562,0.89399,0.92497,0.60997,1.37037,0.65269,1.25497,0.0008317,0.0008317,0.0008317
19,290.014,1.45291,0.7195,1.28048,0.92982,0.8811,0.92298,0.62078,1.39168,0.62288,1.28877,0.0008218,0.0008218,0.0008218
20,305.56,1.44306,0.70507,1.27234,0.88644,0.87298,0.9179,0.55182,1.48587,0.69769,1.3248,0.0008119,0.0008119,0.0008119
21,319.695,1.4333,0.69455,1.27559,0.93243,0.89223,0.92303,0.62262,1.37779,0.59208,1.28667,0.000802,0.000802,0.000802
22,335.008,1.41548,0.68237,1.26716,0.91998,0.87742,0.92226,0.56334,1.49624,0.68307,1.35624,0.0007921,0.0007921,0.0007921
23,349.801,1.44182,0.696,1.26969,0.92714,0.86189,0.90598,0.59628,1.36406,0.63146,1.30905,0.0007822,0.0007822,0.0007822
24,364.456,1.41952,0.66813,1.27482,0.97033,0.83473,0.9044,0.59395,1.3793,0.67692,1.30985,0.0007723,0.0007723,0.0007723
25,378.953,1.41374,0.67306,1.26047,0.90102,0.90834,0.93232,0.59095,1.43056,0.66045,1.34274,0.0007624,0.0007624,0.0007624
26,394.11,1.41814,0.66717,1.25865,0.88799,0.88569,0.92013,0.61322,1.33209,0.60639,1.25596,0.0007525,0.0007525,0.0007525
27,409.842,1.41458,0.66707,1.272,0.91149,0.84796,0.91067,0.59105,1.39449,0.65348,1.30985,0.0007426,0.0007426,0.0007426
28,424.22,1.38733,0.66866,1.2478,0.91145,0.85277,0.91192,0.58186,1.42968,0.64856,1.31181,0.0007327,0.0007327,0.0007327
29,438.547,1.38195,0.64664,1.25088,0.86761,0.89876,0.91772,0.57793,1.42751,0.64387,1.33135,0.0007228,0.0007228,0.0007228
30,452.847,1.36547,0.64694,1.23552,0.93444,0.8661,0.91647,0.59726,1.36812,0.64515,1.29013,0.0007129,0.0007129,0.0007129
31,468.092,1.37497,0.64647,1.24524,0.95818,0.88222,0.92646,0.63125,1.31561,0.6216,1.26298,0.000703,0.000703,0.000703
32,483.057,1.36032,0.63074,1.22665,0.89664,0.90875,0.91914,0.6085,1.35099,0.62127,1.28486,0.0006931,0.0006931,0.0006931
33,498.167,1.34786,0.63699,1.23814,0.87869,0.88591,0.919,0.62975,1.29334,0.59972,1.23933,0.0006832,0.0006832,0.0006832
34,512.844,1.35314,0.63709,1.23349,0.95432,0.84653,0.92202,0.63127,1.29238,0.59459,1.24239,0.0006733,0.0006733,0.0006733
35,527.967,1.36256,0.63145,1.23215,0.90622,0.89293,0.93299,0.63299,1.34633,0.60367,1.2727,0.0006634,0.0006634,0.0006634
36,542.949,1.34113,0.6349,1.22672,0.886,0.89035,0.9191,0.61526,1.31154,0.60519,1.26207,0.0006535,0.0006535,0.0006535
37,557.474,1.35486,0.62548,1.23233,0.93763,0.86912,0.91739,0.61528,1.35546,0.6308,1.29041,0.0006436,0.0006436,0.0006436
38,572.126,1.34126,0.61917,1.22581,0.89296,0.86945,0.92103,0.63296,1.27922,0.60852,1.23013,0.0006337,0.0006337,0.0006337
39,587.029,1.32221,0.62209,1.21196,0.89041,0.91115,0.93082,0.61654,1.31919,0.60204,1.24925,0.0006238,0.0006238,0.0006238
40,601.449,1.33941,0.62277,1.2176,0.95009,0.83201,0.90739,0.61787,1.3407,0.60891,1.27456,0.0006139,0.0006139,0.0006139
41,615.706,1.32117,0.60762,1.23009,0.95889,0.88396,0.92772,0.63405,1.30927,0.6136,1.24568,0.000604,0.000604,0.000604
42,631.347,1.32041,0.60659,1.21498,0.91817,0.91162,0.92083,0.63952,1.25003,0.60412,1.23046,0.0005941,0.0005941,0.0005941
