epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9976,1.78075,3.57909,1.26981,0.68442,0.47972,0.54315,0.27733,1.71856,3.21615,1.18523,0.07921,0.00021,0.00021
2,21.6117,0.96811,0.70312,0.86613,0,0,0,0,1.25049,inf,0.97739,0.0574279,0.000427871,0.000427871
3,30.6177,0.88734,0.54294,0.84852,0.93097,0.95121,0.98515,0.70687,0.93031,0.60118,0.85559,0.0356436,0.000643565,0.000643565
4,40.0684,0.89065,0.53258,0.84951,0,0,0,0,2.81786,nan,3.00503,0.0138571,0.00085708,0.00085708
5,49.3489,0.84583,0.50508,0.84568,0,0,0,0,4.26228,inf,2.64082,0.0009802,0.0009802,0.0009802
6,58.2282,0.80002,0.46075,0.83351,0.89051,0.94223,0.94567,0.69352,0.81933,0.84688,0.82827,0.00097525,0.00097525,0.00097525
7,67.2964,0.7658,0.44388,0.83268,0.95872,0.99383,0.97983,0.75009,0.74287,0.41149,0.82138,0.0009703,0.0009703,0.0009703
8,76.8497,0.74165,0.41788,0.83239,0.93252,0.9302,0.99093,0.74463,0.75335,0.47324,0.82203,0.00096535,0.00096535,0.00096535
9,86.4485,0.75783,0.42624,0.83277,0.97756,0.94744,0.98648,0.78072,0.70675,0.44968,0.81184,0.0009604,0.0009604,0.0009604
10,96.0047,0.77436,0.42756,0.8281,0.96255,0.99355,0.99327,0.7951,0.6874,0.39718,0.80606,0.00095545,0.00095545,0.00095545
11,105.551,0.76051,0.42289,0.832,0.97817,1,0.99374,0.78329,0.67274,0.38964,0.80858,0.0009505,0.0009505,0.0009505
12,114.77,0.70101,0.39713,0.82412,0.99339,0.99643,0.99493,0.80705,0.65946,0.35211,0.80545,0.00094555,0.00094555,0.00094555
13,124.33,0.68597,0.37634,0.81734,0.98598,0.99991,0.99432,0.77808,0.70973,0.36111,0.81166,0.0009406,0.0009406,0.0009406
14,133.315,0.6827,0.37494,0.82213,0.96636,0.99975,0.99031,0.78399,0.68541,0.38135,0.80824,0.00093565,0.00093565,0.00093565
15,142.589,0.69944,0.37623,0.82409,0.98772,1,0.99441,0.80237,0.65014,0.3515,0.80422,0.0009307,0.0009307,0.0009307
16,151.576,0.70458,0.37608,0.82177,0.97962,1,0.99493,0.80667,0.64734,0.3426,0.80444,0.00092575,0.00092575,0.00092575
17,160.538,0.66979,0.36724,0.81655,0.98958,1,0.99406,0.79113,0.65469,0.34371,0.80709,0.0009208,0.0009208,0.0009208
18,169.731,0.65232,0.35645,0.81041,0.99131,0.9979,0.99493,0.82237,0.62349,0.32189,0.79769,0.00091585,0.00091585,0.00091585
19,179.29,0.68312,0.36567,0.81625,0.98837,0.98927,0.99493,0.81949,0.61543,0.34153,0.79906,0.0009109,0.0009109,0.0009109
20,188.216,0.63898,0.35176,0.81169,0.97692,0.99632,0.99418,0.80069,0.64616,0.35915,0.80113,0.00090595,0.00090595,0.00090595
21,197.412,0.64483,0.34855,0.81289,0.98512,0.99351,0.995,0.81669,0.61307,0.3409,0.79715,0.000901,0.000901,0.000901
22,206.748,0.64839,0.34269,0.80873,0.98912,0.98907,0.99483,0.8102,0.63602,0.40021,0.79979,0.00089605,0.00089605,0.00089605
23,216.059,0.66032,0.34391,0.8154,0.98933,1,0.99493,0.82188,0.63418,0.33384,0.79936,0.0008911,0.0008911,0.0008911
24,225.305,0.66308,0.34642,0.81727,0.98884,0.99389,0.99423,0.8213,0.62055,0.32219,0.80094,0.00088615,0.00088615,0.00088615
25,234.444,0.66592,0.34688,0.81609,0.97574,0.99844,0.99466,0.80967,0.66141,0.37792,0.80742,0.0008812,0.0008812,0.0008812
26,243.598,0.65085,0.34231,0.81131,0.98666,0.99714,0.995,0.82575,0.61255,0.33523,0.79744,0.00087625,0.00087625,0.00087625
27,253.135,0.63558,0.32724,0.81493,0.99036,1,0.99284,0.82783,0.59732,0.30577,0.79705,0.0008713,0.0008713,0.0008713
28,262.496,0.63406,0.3325,0.80933,0.99329,1,0.99476,0.82887,0.6524,0.31509,0.80226,0.00086635,0.00086635,0.00086635
29,271.551,0.64951,0.34132,0.81201,0.98328,0.99827,0.995,0.8089,0.65858,0.32503,0.80303,0.0008614,0.0008614,0.0008614
30,280.602,0.64519,0.33191,0.80604,0.99382,0.99672,0.995,0.82005,0.63755,0.32262,0.80008,0.00085645,0.00085645,0.00085645
31,289.518,0.61925,0.32656,0.80795,0.98756,1,0.99057,0.80782,0.63633,0.34137,0.79864,0.0008515,0.0008515,0.0008515
32,298.769,0.6053,0.3264,0.80613,0.98673,1,0.99413,0.82584,0.60294,0.29727,0.79422,0.00084655,0.00084655,0.00084655
33,308.057,0.60636,0.32278,0.80572,0.99547,1,0.995,0.80748,0.66033,0.31457,0.80019,0.0008416,0.0008416,0.0008416
34,316.923,0.61635,0.33287,0.80893,0.99358,1,0.995,0.81617,0.6544,0.30944,0.79983,0.00083665,0.00083665,0.00083665
35,325.808,0.62647,0.33332,0.80602,0.99462,1,0.995,0.81992,0.62779,0.3112,0.79729,0.0008317,0.0008317,0.0008317
36,334.973,0.63348,0.33916,0.81123,0.98711,0.99886,0.99204,0.82213,0.59515,0.30835,0.79558,0.00082675,0.00082675,0.00082675
37,344.046,0.62555,0.33517,0.80947,0.99374,1,0.995,0.8306,0.59076,0.29641,0.7917,0.0008218,0.0008218,0.0008218
38,353.097,0.6025,0.32807,0.80664,0.99001,0.99733,0.995,0.82769,0.59783,0.3126,0.79471,0.00081685,0.00081685,0.00081685
39,361.911,0.61249,0.32617,0.80321,0.99237,1,0.995,0.82079,0.59897,0.31214,0.79676,0.0008119,0.0008119,0.0008119
40,370.912,0.61374,0.32631,0.80379,0.99495,0.99323,0.995,0.82385,0.61748,0.31565,0.79742,0.00080695,0.00080695,0.00080695
41,379.824,0.61035,0.32356,0.80335,0.99435,1,0.995,0.82545,0.61553,0.29572,0.79726,0.000802,0.000802,0.000802
42,388.764,0.60812,0.31864,0.81002,0.99631,0.99889,0.995,0.82769,0.59511,0.29431,0.79662,0.00079705,0.00079705,0.00079705
43,397.852,0.60751,0.31744,0.80501,0.99216,1,0.995,0.81868,0.63298,0.3036,0.8001,0.0007921,0.0007921,0.0007921
44,407.085,0.6224,0.31938,0.80723,0.99336,1,0.995,0.82302,0.60937,0.29209,0.79625,0.00078715,0.00078715,0.00078715
45,415.929,0.61587,0.31811,0.81073,0.98515,1,0.995,0.82125,0.62868,0.30782,0.79873,0.0007822,0.0007822,0.0007822
46,424.867,0.59085,0.31486,0.8006,0.99466,1,0.995,0.8271,0.60877,0.29007,0.79718,0.00077725,0.00077725,0.00077725
47,434.002,0.60633,0.31908,0.8084,0.99145,0.99838,0.995,0.81231,0.6141,0.31311,0.79634,0.0007723,0.0007723,0.0007723
48,443.107,0.60462,0.31969,0.80818,0.97388,0.99673,0.99485,0.81188,0.68468,0.33984,0.80881,0.00076735,0.00076735,0.00076735
49,451.886,0.58258,0.30969,0.80868,0.99301,0.99472,0.99485,0.79899,0.67893,0.31838,0.80656,0.0007624,0.0007624,0.0007624
50,460.741,0.59793,0.31241,0.80446,0.99576,0.9995,0.995,0.81534,0.62961,0.29694,0.7982,0.00075745,0.00075745,0.00075745
51,469.714,0.58589,0.30242,0.80349,0.99473,1,0.995,0.82417,0.59146,0.2874,0.79791,0.0007525,0.0007525,0.0007525
52,479.225,0.59133,0.30806,0.8061,0.99219,1,0.995,0.82644,0.6077,0.29056,0.79603,0.00074755,0.00074755,0.00074755
53,488.385,0.58387,0.30136,0.80522,0.98661,1,0.99056,0.82449,0.59807,0.2893,0.79599,0.0007426,0.0007426,0.0007426
54,497.373,0.5941,0.30816,0.80709,0.97042,0.98796,0.99193,0.82316,0.58687,0.33943,0.79611,0.00073765,0.00073765,0.00073765
55,506.369,0.58989,0.30699,0.79894,0.97891,0.99332,0.99339,0.83188,0.60198,0.31412,0.79511,0.0007327,0.0007327,0.0007327
56,515.739,0.59941,0.31016,0.80354,0.99429,1,0.995,0.82974,0.60305,0.28532,0.79559,0.00072775,0.00072775,0.00072775
57,524.801,0.57642,0.29868,0.80311,0.99497,1,0.995,0.8383,0.58909,0.28722,0.79343,0.0007228,0.0007228,0.0007228
58,534.285,0.5778,0.29823,0.80164,0.99496,1,0.995,0.82955,0.60142,0.28353,0.79488,0.00071785,0.00071785,0.00071785
59,543.207,0.58075,0.29622,0.8038,0.99559,1,0.995,0.82867,0.6,0.27893,0.79484,0.0007129,0.0007129,0.0007129
60,552.073,0.58114,0.29738,0.80031,0.99234,1,0.995,0.83917,0.60875,0.29296,0.7986,0.00070795,0.00070795,0.00070795
61,561.289,0.58262,0.29792,0.80593,0.98904,0.99897,0.995,0.83409,0.59122,0.28497,0.79626,0.000703,0.000703,0.000703
62,570.908,0.57604,0.29745,0.80044,0.98913,0.99882,0.995,0.83133,0.59995,0.29148,0.79591,0.00069805,0.00069805,0.00069805
63,579.762,0.56205,0.29078,0.79723,0.99376,1,0.995,0.8145,0.63631,0.30061,0.79823,0.0006931,0.0006931,0.0006931
64,588.48,0.57084,0.29804,0.79894,0.99551,0.99745,0.995,0.82549,0.58347,0.29044,0.7936,0.00068815,0.00068815,0.00068815
65,597.496,0.57902,0.30572,0.79768,0.9935,1,0.995,0.81593,0.59132,0.28278,0.79444,0.0006832,0.0006832,0.0006832
66,606.513,0.56684,0.29791,0.8017,0.99619,1,0.995,0.8363,0.59004,0.28547,0.7954,0.00067825,0.00067825,0.00067825
67,615.136,0.56361,0.29706,0.80157,0.99557,0.99727,0.995,0.84464,0.57937,0.28467,0.7928,0.0006733,0.0006733,0.0006733
68,624.268,0.56158,0.29776,0.79991,0.99646,1,0.995,0.83186,0.59765,0.28299,0.79372,0.00066835,0.00066835,0.00066835
69,633.473,0.563,0.28882,0.80232,0.99684,1,0.995,0.82041,0.61924,0.28474,0.79706,0.0006634,0.0006634,0.0006634
70,642.531,0.56933,0.29837,0.79689,0.99169,0.99935,0.995,0.83389,0.59637,0.28583,0.79522,0.00065845,0.00065845,0.00065845
71,651.236,0.56422,0.29457,0.79874,0.99617,1,0.995,0.82476,0.60307,0.28806,0.79754,0.0006535,0.0006535,0.0006535
72,660.629,0.57708,0.30064,0.8031,0.99524,1,0.995,0.82944,0.59303,0.29445,0.79486,0.00064855,0.00064855,0.00064855
73,669.565,0.56316,0.2927,0.79809,0.99449,0.9969,0.995,0.84057,0.56998,0.28232,0.79304,0.0006436,0.0006436,0.0006436
74,678.31,0.55695,0.28703,0.79934,0.99546,0.99663,0.995,0.83914,0.57679,0.28429,0.79444,0.00063865,0.00063865,0.00063865
75,687.396,0.54058,0.28547,0.79781,0.99508,0.99712,0.995,0.84021,0.59122,0.28293,0.79298,0.0006337,0.0006337,0.0006337
76,696.206,0.55939,0.29177,0.79921,0.99508,1,0.995,0.83322,0.59213,0.27785,0.79469,0.00062875,0.00062875,0.00062875
77,705.33,0.5617,0.29434,0.80492,0.99726,1,0.995,0.8263,0.6072,0.27846,0.79663,0.0006238,0.0006238,0.0006238
78,714.307,0.55943,0.28641,0.79669,0.99547,1,0.995,0.82761,0.5889,0.28172,0.79719,0.00061885,0.00061885,0.00061885
